"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T13:50:58.330Z","Sentinel","jioindiawest","JPY","Pay-as-you-go","1 GB","381.878","2021-04-15T00:00:00.000Z","0","381.878"
"2023-03-29T13:50:58.330Z","Sentinel","jioindiawest","JPY","100","1/Day","19093.9","2021-04-15T00:00:00.000Z","50","190.939"
"2023-03-29T13:50:58.330Z","Sentinel","jioindiawest","JPY","200","1/Day","34369.02","2021-04-15T00:00:00.000Z","180","171.8451"
"2023-03-29T13:50:58.330Z","Sentinel","jioindiawest","JPY","300","1/Day","49644.14","2021-04-15T00:00:00.000Z","288.8889","165.4805"
"2023-03-29T13:50:58.330Z","Sentinel","jioindiawest","JPY","400","1/Day","63645.4241","2021-04-15T00:00:00.000Z","384.6098","159.1136"
"2023-03-29T13:50:58.330Z","Sentinel","jioindiawest","JPY","500","1/Day","76375.6","2021-04-15T00:00:00.000Z","480.0067","152.7512"
"2023-04-12T11:28:34.468Z","Sentinel","jioindiawest","JPY","Pay-as-you-go","1 GB","371.014","2021-04-15T00:00:00.000Z","0","371.014"
"2023-04-12T11:28:34.468Z","Sentinel","jioindiawest","JPY","100","1/Day","18550.7","2021-04-15T00:00:00.000Z","50","185.507"
"2023-04-12T11:28:34.468Z","Sentinel","jioindiawest","JPY","200","1/Day","33391.26","2021-04-15T00:00:00.000Z","180","166.9563"
"2023-04-12T11:28:34.468Z","Sentinel","jioindiawest","JPY","300","1/Day","48231.82","2021-04-15T00:00:00.000Z","288.8889","160.7727"
"2023-04-12T11:28:34.468Z","Sentinel","jioindiawest","JPY","400","1/Day","61834.7833","2021-04-15T00:00:00.000Z","384.6100","154.5870"
"2023-04-12T11:28:34.468Z","Sentinel","jioindiawest","JPY","500","1/Day","74202.8","2021-04-15T00:00:00.000Z","480.0067","148.4056"
