"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T13:50:58.330Z","Azure Monitor","northeurope","JPY","Pay-as-you-go","1 GB","376.4226","2018-02-01T00:00:00.000Z","0","376.4226"
"2023-03-29T13:50:58.330Z","Azure Monitor","northeurope","JPY","100","1/Day","32077.752","2019-11-01T00:00:00.000Z","85.2174","320.7775"
"2023-03-29T13:50:58.330Z","Azure Monitor","northeurope","JPY","200","1/Day","60227.616","2019-11-01T00:00:00.000Z","187.7551","301.1381"
"2023-03-29T13:50:58.330Z","Azure Monitor","northeurope","JPY","300","1/Day","88377.48","2019-11-01T00:00:00.000Z","293.4782","294.5916"
"2023-03-29T13:50:58.330Z","Azure Monitor","northeurope","JPY","400","1/Day","115218.048","2019-11-01T00:00:00.000Z","391.1111","288.0451"
"2023-03-29T13:50:58.330Z","Azure Monitor","northeurope","JPY","500","1/Day","141567.63","2019-11-01T00:00:00.000Z","491.4773","283.1353"
"2023-03-29T13:50:58.330Z","Azure Monitor","northeurope","JPY","1000","1/Day","278225.4","2021-06-01T00:00:00.000Z","982.6588","278.2254"
"2023-03-29T13:50:58.330Z","Azure Monitor","northeurope","JPY","2000","1/Day","543357.84","2021-06-01T00:00:00.000Z","1952.9412","271.6789"
"2023-03-29T13:50:58.330Z","Azure Monitor","northeurope","JPY","5000","1/Day","1317479.1","2021-06-01T00:00:00.000Z","4849.3979","263.4958"
"2023-04-12T11:28:34.468Z","Azure Monitor","northeurope","JPY","Pay-as-you-go","1 GB","365.7138","2018-02-01T00:00:00.000Z","0","365.7138"
"2023-04-12T11:28:34.468Z","Azure Monitor","northeurope","JPY","100","1/Day","31165.176","2019-11-01T00:00:00.000Z","85.2174","311.6518"
"2023-04-12T11:28:34.468Z","Azure Monitor","northeurope","JPY","200","1/Day","58514.208","2019-11-01T00:00:00.000Z","187.7551","292.571"
"2023-04-12T11:28:34.468Z","Azure Monitor","northeurope","JPY","300","1/Day","85863.24","2019-11-01T00:00:00.000Z","293.4783","286.2108"
"2023-04-12T11:28:34.468Z","Azure Monitor","northeurope","JPY","400","1/Day","111940.224","2019-11-01T00:00:00.000Z","391.1111","279.8506"
"2023-04-12T11:28:34.468Z","Azure Monitor","northeurope","JPY","500","1/Day","137540.19","2019-11-01T00:00:00.000Z","491.4772","275.0804"
"2023-04-12T11:28:34.468Z","Azure Monitor","northeurope","JPY","1000","1/Day","270310.2","2021-06-01T00:00:00.000Z","982.6589","270.3102"
"2023-04-12T11:28:34.468Z","Azure Monitor","northeurope","JPY","2000","1/Day","527899.92","2021-06-01T00:00:00.000Z","1952.9412","263.95"
"2023-04-12T11:28:34.468Z","Azure Monitor","northeurope","JPY","5000","1/Day","1279998.3","2021-06-01T00:00:00.000Z","4849.3969","255.9997"
"2023-05-02T06:07:40.927Z","Azure Monitor","northeurope","JPY","Pay-as-you-go","1 GB","368.0322","2018-02-01T00:00:00.000Z","0","368.0322"
"2023-05-02T06:07:40.927Z","Azure Monitor","northeurope","JPY","100","1/Day","31362.744","2019-11-01T00:00:00.000Z","85.2174","313.6274"
"2023-05-02T06:07:40.927Z","Azure Monitor","northeurope","JPY","200","1/Day","58885.152","2019-11-01T00:00:00.000Z","187.7551","294.4258"
"2023-05-02T06:07:40.927Z","Azure Monitor","northeurope","JPY","300","1/Day","86407.56","2019-11-01T00:00:00.000Z","293.4782","288.0252"
"2023-05-02T06:07:40.927Z","Azure Monitor","northeurope","JPY","400","1/Day","112649.856","2019-11-01T00:00:00.000Z","391.1111","281.6246"
"2023-05-02T06:07:40.927Z","Azure Monitor","northeurope","JPY","500","1/Day","138412.11","2019-11-01T00:00:00.000Z","491.4773","276.8242"
"2023-05-02T06:07:40.927Z","Azure Monitor","northeurope","JPY","1000","1/Day","272023.8","2021-06-01T00:00:00.000Z","982.6590","272.0238"
"2023-05-02T06:07:40.927Z","Azure Monitor","northeurope","JPY","2000","1/Day","531246.48","2021-06-01T00:00:00.000Z","1952.9412","265.6232"
"2023-05-02T06:07:40.927Z","Azure Monitor","northeurope","JPY","5000","1/Day","1288112.7","2021-06-01T00:00:00.000Z","4849.3983","257.6225"
