"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T13:50:58.330Z","Azure Monitor","southindia","CAD","Pay-as-you-go","1 GB","4.7072","2018-02-01T00:00:00.000Z","0","4.7072"
"2023-03-29T13:50:58.330Z","Azure Monitor","southindia","CAD","100","1/Day","403.8078","2019-11-01T00:00:00.000Z","85.7851","4.0381"
"2023-03-29T13:50:58.330Z","Azure Monitor","southindia","CAD","200","1/Day","758.1698","2019-11-01T00:00:00.000Z","187.7541","3.7908"
"2023-03-29T13:50:58.330Z","Azure Monitor","southindia","CAD","300","1/Day","1112.5318","2019-11-01T00:00:00.000Z","293.4821","3.7084"
"2023-03-29T13:50:58.330Z","Azure Monitor","southindia","CAD","400","1/Day","1450.4118","2019-11-01T00:00:00.000Z","391.1153","3.626"
"2023-03-29T13:50:58.330Z","Azure Monitor","southindia","CAD","500","1/Day","1782.1111","2019-11-01T00:00:00.000Z","491.4813","3.5642"
"2023-03-29T13:50:58.330Z","Azure Monitor","southindia","CAD","1000","1/Day","3502.4148","2021-06-01T00:00:00.000Z","982.6651","3.5024"
"2023-03-29T13:50:58.330Z","Azure Monitor","southindia","CAD","2000","1/Day","6840.0101","2021-06-01T00:00:00.000Z","1952.9494","3.42"
"2023-03-29T13:50:58.330Z","Azure Monitor","southindia","CAD","5000","1/Day","16584.9642","2021-06-01T00:00:00.000Z","4849.4047","3.317"
"2023-04-12T11:28:34.468Z","Azure Monitor","southindia","CAD","Pay-as-you-go","1 GB","4.687","2018-02-01T00:00:00.000Z","0","4.687"
"2023-04-12T11:28:34.468Z","Azure Monitor","southindia","CAD","100","1/Day","402.0765","2019-11-01T00:00:00.000Z","85.7855","4.0208"
"2023-04-12T11:28:34.468Z","Azure Monitor","southindia","CAD","200","1/Day","754.9191","2019-11-01T00:00:00.000Z","187.7535","3.7746"
"2023-04-12T11:28:34.468Z","Azure Monitor","southindia","CAD","300","1/Day","1107.7617","2019-11-01T00:00:00.000Z","293.4779","3.6925"
"2023-04-12T11:28:34.468Z","Azure Monitor","southindia","CAD","400","1/Day","1444.193","2019-11-01T00:00:00.000Z","391.1152","3.6105"
"2023-04-12T11:28:34.468Z","Azure Monitor","southindia","CAD","500","1/Day","1774.4701","2019-11-01T00:00:00.000Z","491.4749","3.5489"
"2023-04-12T11:28:34.468Z","Azure Monitor","southindia","CAD","1000","1/Day","3487.3979","2021-06-01T00:00:00.000Z","982.6701","3.4874"
"2023-04-12T11:28:34.468Z","Azure Monitor","southindia","CAD","2000","1/Day","6810.6829","2021-06-01T00:00:00.000Z","1952.9400","3.4053"
"2023-04-12T11:28:34.468Z","Azure Monitor","southindia","CAD","5000","1/Day","16513.8545","2021-06-01T00:00:00.000Z","4849.4566","3.3028"
