"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T15:50:58.330Z","Azure Monitor","japaneast","CNY","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","23.1938","2018-02-01T00:00:00.000Z","0","23.1938"
"2023-03-29T15:50:58.330Z","Azure Monitor","japaneast","CNY","100 GB Commitment Tier Capacity Reservation","100","1/Day","1973.5559","2019-11-01T00:00:00.000Z","85.0898","19.7356"
"2023-03-29T15:50:58.330Z","Azure Monitor","japaneast","CNY","200 GB Commitment Tier Capacity Reservation","200","1/Day","3705.4518","2019-11-01T00:00:00.000Z","187.7547","18.5273"
"2023-03-29T15:50:58.330Z","Azure Monitor","japaneast","CNY","300 GB Commitment Tier Capacity Reservation","300","1/Day","5437.3478","2019-11-01T00:00:00.000Z","293.4776","18.1245"
"2023-03-29T15:50:58.330Z","Azure Monitor","japaneast","CNY","400 GB Commitment Tier Capacity Reservation","400","1/Day","7088.6904","2019-11-01T00:00:00.000Z","391.1109","17.7217"
"2023-03-29T15:50:58.330Z","Azure Monitor","japaneast","CNY","500 GB Commitment Tier Capacity Reservation","500","1/Day","8709.8256","2019-11-01T00:00:00.000Z","491.478","17.4197"
"2023-03-29T15:50:58.330Z","Azure Monitor","japaneast","CNY","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","17117.5763","2021-06-01T02:00:00.000Z","982.6562","17.1176"
"2023-03-29T15:50:58.330Z","Azure Monitor","japaneast","CNY","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","33429.6195","2021-06-01T02:00:00.000Z","1952.9385","16.7148"
"2023-03-29T15:50:58.330Z","Azure Monitor","japaneast","CNY","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","81056.7581","2021-06-01T02:00:00.000Z","4849.4004","16.2114"
"2023-04-12T13:28:34.468Z","Azure Monitor","japaneast","CNY","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","23.0054","2018-02-01T00:00:00.000Z","0","23.0054"
"2023-04-12T13:28:34.468Z","Azure Monitor","japaneast","CNY","100 GB Commitment Tier Capacity Reservation","100","1/Day","1957.527","2019-11-01T00:00:00.000Z","85.0899","19.5753"
"2023-04-12T13:28:34.468Z","Azure Monitor","japaneast","CNY","200 GB Commitment Tier Capacity Reservation","200","1/Day","3675.3568","2019-11-01T00:00:00.000Z","187.7548","18.3768"
"2023-04-12T13:28:34.468Z","Azure Monitor","japaneast","CNY","300 GB Commitment Tier Capacity Reservation","300","1/Day","5393.1865","2019-11-01T00:00:00.000Z","293.478","17.9773"
"2023-04-12T13:28:34.468Z","Azure Monitor","japaneast","CNY","400 GB Commitment Tier Capacity Reservation","400","1/Day","7031.1173","2019-11-01T00:00:00.000Z","391.1109","17.5778"
"2023-04-12T13:28:34.468Z","Azure Monitor","japaneast","CNY","500 GB Commitment Tier Capacity Reservation","500","1/Day","8639.0859","2019-11-01T00:00:00.000Z","491.4771","17.2782"
"2023-04-12T13:28:34.468Z","Azure Monitor","japaneast","CNY","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","16978.5502","2021-06-01T02:00:00.000Z","982.6573","16.9786"
"2023-04-12T13:28:34.468Z","Azure Monitor","japaneast","CNY","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","33158.1099","2021-06-01T02:00:00.000Z","1952.9355","16.5791"
"2023-04-12T13:28:34.468Z","Azure Monitor","japaneast","CNY","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","80398.4291","2021-06-01T02:00:00.000Z","4849.3844","16.0797"
"2023-05-02T08:07:40.927Z","Azure Monitor","japaneast","CNY","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","23.1165","2018-02-01T00:00:00.000Z","0","23.1165"
"2023-05-02T08:07:40.927Z","Azure Monitor","japaneast","CNY","100 GB Commitment Tier Capacity Reservation","100","1/Day","1966.9766","2019-11-01T00:00:00.000Z","85.0897","19.6698"
"2023-05-02T08:07:40.927Z","Azure Monitor","japaneast","CNY","200 GB Commitment Tier Capacity Reservation","200","1/Day","3693.099","2019-11-01T00:00:00.000Z","187.7548","18.4655"
"2023-05-02T08:07:40.927Z","Azure Monitor","japaneast","CNY","300 GB Commitment Tier Capacity Reservation","300","1/Day","5419.2213","2019-11-01T00:00:00.000Z","293.4782","18.0641"
"2023-05-02T08:07:40.927Z","Azure Monitor","japaneast","CNY","400 GB Commitment Tier Capacity Reservation","400","1/Day","7065.0589","2019-11-01T00:00:00.000Z","391.1105","17.6626"
"2023-05-02T08:07:40.927Z","Azure Monitor","japaneast","CNY","500 GB Commitment Tier Capacity Reservation","500","1/Day","8680.7897","2019-11-01T00:00:00.000Z","491.4786","17.3616"
"2023-05-02T08:07:40.927Z","Azure Monitor","japaneast","CNY","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","17060.5115","2021-06-01T02:00:00.000Z","982.6578","17.0605"
"2023-05-02T08:07:40.927Z","Azure Monitor","japaneast","CNY","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","33318.1754","2021-06-01T02:00:00.000Z","1952.9425","16.6591"
"2023-05-02T08:07:40.927Z","Azure Monitor","japaneast","CNY","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","80786.5398","2021-06-01T02:00:00.000Z","4849.394","16.1573"
"2023-06-02T08:07:42.568Z","Azure Monitor","japaneast","CNY","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","23.5637","2018-02-01T00:00:00.000Z","0","23.5637"
"2023-06-02T08:07:42.568Z","Azure Monitor","japaneast","CNY","100 GB Commitment Tier Capacity Reservation","100","1/Day","2005.031","2019-11-01T00:00:00.000Z","85.0898","20.0503"
"2023-06-02T08:07:42.568Z","Azure Monitor","japaneast","CNY","200 GB Commitment Tier Capacity Reservation","200","1/Day","3764.548","2019-11-01T00:00:00.000Z","187.7552","18.8227"
"2023-06-02T08:07:42.568Z","Azure Monitor","japaneast","CNY","300 GB Commitment Tier Capacity Reservation","300","1/Day","5524.065","2019-11-01T00:00:00.000Z","293.4789","18.4136"
"2023-06-02T08:07:42.568Z","Azure Monitor","japaneast","CNY","400 GB Commitment Tier Capacity Reservation","400","1/Day","7201.744","2019-11-01T00:00:00.000Z","391.11","18.0044"
"2023-06-02T08:07:42.568Z","Azure Monitor","japaneast","CNY","500 GB Commitment Tier Capacity Reservation","500","1/Day","8848.7338","2019-11-01T00:00:00.000Z","491.4762","17.6975"
"2023-06-02T08:07:42.568Z","Azure Monitor","japaneast","CNY","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","17390.575","2021-06-01T02:00:00.000Z","982.6572","17.3906"
"2023-06-02T08:07:42.568Z","Azure Monitor","japaneast","CNY","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","33962.77","2021-06-01T02:00:00.000Z","1952.9384","16.9814"
"2023-06-02T08:07:42.568Z","Azure Monitor","japaneast","CNY","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","82349.4875","2021-06-01T02:00:00.000Z","4849.3933","16.4699"
"2023-07-07T06:09:02.036Z","Azure Monitor","japaneast","CNY","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","24.1991","2018-02-01T00:00:00.000Z","0","24.1991"
"2023-07-07T06:09:02.036Z","Azure Monitor","japaneast","CNY","100 GB Commitment Tier Capacity Reservation","100","1/Day","2059.1001","2019-11-01T00:00:00.000Z","85.0899","20.591"
"2023-07-07T06:09:02.036Z","Azure Monitor","japaneast","CNY","200 GB Commitment Tier Capacity Reservation","200","1/Day","3866.0654","2019-11-01T00:00:00.000Z","187.7551","19.3303"
"2023-07-07T06:09:02.036Z","Azure Monitor","japaneast","CNY","300 GB Commitment Tier Capacity Reservation","300","1/Day","5673.0308","2019-11-01T00:00:00.000Z","293.4787","18.9101"
"2023-07-07T06:09:02.036Z","Azure Monitor","japaneast","CNY","400 GB Commitment Tier Capacity Reservation","400","1/Day","7395.9512","2019-11-01T00:00:00.000Z","391.1112","18.4899"
