"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T15:50:58.330Z","Sentinel","qatarcentral","NOK","Pay-as-you-go Data Analysis","Pay-as-you-go","1 GB","27.4945","2022-07-05T02:00:00.000Z","0","27.4945"
"2023-03-29T15:50:58.330Z","Sentinel","qatarcentral","NOK","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","1374.7272","2022-07-05T02:00:00.000Z","50.0001","13.7473"
"2023-03-29T15:50:58.330Z","Sentinel","qatarcentral","NOK","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","2474.509","2022-07-05T02:00:00.000Z","179.9996","12.3725"
"2023-03-29T15:50:58.330Z","Sentinel","qatarcentral","NOK","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","3574.2907","2022-07-05T02:00:00.000Z","288.8899","11.9143"
"2023-03-29T15:50:58.330Z","Sentinel","qatarcentral","NOK","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","4582.424","2022-07-05T02:00:00.000Z","384.6155","11.4561"
"2023-03-29T15:50:58.330Z","Sentinel","qatarcentral","NOK","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","5498.9088","2022-07-05T02:00:00.000Z","479.9983","10.9978"
"2023-03-29T15:50:58.330Z","Sentinel","qatarcentral","NOK","Classic 1000 GB Commitment Tier Capacity Reservation","1000","1/Day","10722.8722","2022-07-05T02:00:00.000Z","975.0016","10.7229"
"2023-03-29T15:50:58.330Z","Sentinel","qatarcentral","NOK","Classic 2000 GB Commitment Tier Capacity Reservation","2000","1/Day","20345.9626","2022-07-05T02:00:00.000Z","1897.431","10.173"
"2023-03-29T15:50:58.330Z","Sentinel","qatarcentral","NOK","Classic 5000 GB Commitment Tier Capacity Reservation","5000","1/Day","48115.452","2022-07-05T02:00:00.000Z","4729.721","9.6231"
"2023-04-12T13:28:34.468Z","Sentinel","qatarcentral","NOK","Pay-as-you-go Data Analysis","Pay-as-you-go","1 GB","27.52","2022-07-05T02:00:00.000Z","0","27.52"
"2023-04-12T13:28:34.468Z","Sentinel","qatarcentral","NOK","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","1376.001","2022-07-05T02:00:00.000Z","50","13.76"
"2023-04-12T13:28:34.468Z","Sentinel","qatarcentral","NOK","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","2476.8018","2022-07-05T02:00:00.000Z","180.0001","12.384"
"2023-04-12T13:28:34.468Z","Sentinel","qatarcentral","NOK","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","3577.6026","2022-07-05T02:00:00.000Z","288.8891","11.9253"
"2023-04-12T13:28:34.468Z","Sentinel","qatarcentral","NOK","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","4586.67","2022-07-05T02:00:00.000Z","384.6167","11.4667"
"2023-04-12T13:28:34.468Z","Sentinel","qatarcentral","NOK","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","5504.004","2022-07-05T02:00:00.000Z","479.999","11.008"
"2023-04-12T13:28:34.468Z","Sentinel","qatarcentral","NOK","Classic 1000 GB Commitment Tier Capacity Reservation","1000","1/Day","10732.8078","2022-07-05T02:00:00.000Z","975.0007","10.7328"
