"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T13:50:58.330Z","Sentinel","southafricawest","TWD","Pay-as-you-go","1 GB","97.5024","2020-10-01T00:00:00.000Z","0","97.5024"
"2023-03-29T13:50:58.330Z","Sentinel","southafricawest","TWD","100","1/Day","4875.12","2020-10-01T00:00:00.000Z","50","48.7512"
"2023-03-29T13:50:58.330Z","Sentinel","southafricawest","TWD","200","1/Day","8775.216","2020-10-01T00:00:00.000Z","180","43.8761"
"2023-03-29T13:50:58.330Z","Sentinel","southafricawest","TWD","300","1/Day","12675.312","2020-10-01T00:00:00.000Z","288.8888","42.251"
"2023-03-29T13:50:58.330Z","Sentinel","southafricawest","TWD","400","1/Day","16250.2984","2020-10-01T00:00:00.000Z","384.6133","40.6257"
"2023-03-29T13:50:58.330Z","Sentinel","southafricawest","TWD","500","1/Day","19500.48","2020-10-01T00:00:00.000Z","480.0035","39.001"
"2023-03-29T13:50:58.330Z","Sentinel","southafricawest","TWD","1000","1/Day","38025.936","2021-06-01T00:00:00.000Z","974.999","38.0259"
"2023-03-29T13:50:58.330Z","Sentinel","southafricawest","TWD","2000","1/Day","72151.776","2021-06-01T00:00:00.000Z","1897.4377","36.0759"
"2023-03-29T13:50:58.330Z","Sentinel","southafricawest","TWD","5000","1/Day","170629.2","2021-06-01T00:00:00.000Z","4729.7282","34.1258"
"2023-04-12T11:28:34.468Z","Sentinel","southafricawest","TWD","Pay-as-you-go","1 GB","97.3968","2020-10-01T00:00:00.000Z","0","97.3968"
"2023-04-12T11:28:34.468Z","Sentinel","southafricawest","TWD","100","1/Day","4869.84","2020-10-01T00:00:00.000Z","50","48.6984"
"2023-04-12T11:28:34.468Z","Sentinel","southafricawest","TWD","200","1/Day","8765.712","2020-10-01T00:00:00.000Z","180","43.8286"
"2023-04-12T11:28:34.468Z","Sentinel","southafricawest","TWD","300","1/Day","12661.584","2020-10-01T00:00:00.000Z","288.8886","42.2053"
"2023-04-12T11:28:34.468Z","Sentinel","southafricawest","TWD","400","1/Day","16232.6985","2020-10-01T00:00:00.000Z","384.6128","40.5817"
"2023-04-12T11:28:34.468Z","Sentinel","southafricawest","TWD","500","1/Day","19479.36","2020-10-01T00:00:00.000Z","480.0035","38.9587"
"2023-04-12T11:28:34.468Z","Sentinel","southafricawest","TWD","1000","1/Day","37984.752","2021-06-01T00:00:00.000Z","975.0005","37.9848"
"2023-04-12T11:28:34.468Z","Sentinel","southafricawest","TWD","2000","1/Day","72073.632","2021-06-01T00:00:00.000Z","1897.4335","36.0368"
"2023-04-12T11:28:34.468Z","Sentinel","southafricawest","TWD","5000","1/Day","170444.4","2021-06-01T00:00:00.000Z","4729.7318","34.0889"
"2023-05-02T06:07:40.927Z","Sentinel","southafricawest","TWD","Pay-as-you-go","1 GB","98.3232","2020-10-01T00:00:00.000Z","0","98.3232"
"2023-05-02T06:07:40.927Z","Sentinel","southafricawest","TWD","100","1/Day","4916.16","2020-10-01T00:00:00.000Z","50","49.1616"
"2023-05-02T06:07:40.927Z","Sentinel","southafricawest","TWD","200","1/Day","8849.088","2020-10-01T00:00:00.000Z","180","44.2454"
"2023-05-02T06:07:40.927Z","Sentinel","southafricawest","TWD","300","1/Day","12782.016","2020-10-01T00:00:00.000Z","288.8892","42.6067"
"2023-05-02T06:07:40.927Z","Sentinel","southafricawest","TWD","400","1/Day","16387.0976","2020-10-01T00:00:00.000Z","384.6132","40.9677"
"2023-05-02T06:07:40.927Z","Sentinel","southafricawest","TWD","500","1/Day","19664.64","2020-10-01T00:00:00.000Z","480.0035","39.3293"
"2023-05-02T06:07:40.927Z","Sentinel","southafricawest","TWD","1000","1/Day","38346.048","2021-06-01T00:00:00.000Z","974.9995","38.346"
"2023-05-02T06:07:40.927Z","Sentinel","southafricawest","TWD","2000","1/Day","72759.168","2021-06-01T00:00:00.000Z","1897.4383","36.3796"
"2023-05-02T06:07:40.927Z","Sentinel","southafricawest","TWD","5000","1/Day","172065.6","2021-06-01T00:00:00.000Z","4729.7276","34.4131"
"2023-07-02T06:08:00.652Z","Sentinel","southafricawest","TWD","Pay-as-you-go","1 GB","213.7341","2023-07-01T00:00:00.000Z","0","213.7341"
"2023-07-02T06:08:00.652Z","Sentinel","southafricawest","TWD","100","1/Day","14712.8576","2023-07-01T00:00:00.000Z","68.8372","147.1286"
"2023-07-02T06:08:00.652Z","Sentinel","southafricawest","TWD","200","1/Day","27238.6688","2023-07-01T00:00:00.000Z","185.1351","136.1933"
"2023-07-02T06:08:00.652Z","Sentinel","southafricawest","TWD","300","1/Day","39764.48","2023-07-01T00:00:00.000Z","291.9709","132.5483"
"2023-07-02T06:08:00.652Z","Sentinel","southafricawest","TWD","400","1/Day","51561.1722","2023-07-01T00:00:00.000Z","388.9991","128.9029"
"2023-07-02T06:08:00.652Z","Sentinel","southafricawest","TWD","500","1/Day","62877.584","2023-07-01T00:00:00.000Z","487.7903","125.7552"
"2023-07-02T06:08:00.652Z","Sentinel","southafricawest","TWD","1000","1/Day","123269.888","2023-07-01T00:00:00.000Z","980.2369","123.2699"
"2023-07-02T06:08:00.652Z","Sentinel","southafricawest","TWD","2000","1/Day","238586.88","2023-07-01T00:00:00.000Z","1935.4837","119.2934"
"2023-07-02T06:08:00.652Z","Sentinel","southafricawest","TWD","5000","1/Day","574099.68","2023-07-01T00:00:00.000Z","4812.5016","114.8199"
