"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T15:50:58.330Z","Azure Monitor","japanwest","EUR","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","3.3866","2018-02-01T00:00:00.000Z","0","3.3866"
"2023-03-29T15:50:58.330Z","Azure Monitor","japanwest","EUR","100 GB Commitment Tier Capacity Reservation","100","1/Day","288.1943","2019-11-01T00:00:00.000Z","85.0984","2.8819"
"2023-03-29T15:50:58.330Z","Azure Monitor","japanwest","EUR","200 GB Commitment Tier Capacity Reservation","200","1/Day","541.0995","2019-11-01T00:00:00.000Z","187.7579","2.7055"
"2023-03-29T15:50:58.330Z","Azure Monitor","japanwest","EUR","300 GB Commitment Tier Capacity Reservation","300","1/Day","794.0046","2019-11-01T00:00:00.000Z","293.478","2.6467"
"2023-03-29T15:50:58.330Z","Azure Monitor","japanwest","EUR","400 GB Commitment Tier Capacity Reservation","400","1/Day","1035.1468","2019-11-01T00:00:00.000Z","391.1085","2.5879"
"2023-03-29T15:50:58.330Z","Azure Monitor","japanwest","EUR","500 GB Commitment Tier Capacity Reservation","500","1/Day","1271.8778","2019-11-01T00:00:00.000Z","491.471","2.5438"
"2023-03-29T15:50:58.330Z","Azure Monitor","japanwest","EUR","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","2499.6443","2021-06-01T02:00:00.000Z","982.6418","2.4996"
"2023-03-29T15:50:58.330Z","Azure Monitor","japanwest","EUR","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","4881.6582","2021-06-01T02:00:00.000Z","1952.9758","2.4408"
"2023-03-29T15:50:58.330Z","Azure Monitor","japanwest","EUR","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","11836.5508","2021-06-01T02:00:00.000Z","4849.4554","2.3673"
"2023-04-12T13:28:34.468Z","Azure Monitor","japanwest","EUR","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","3.2961","2018-02-01T00:00:00.000Z","0","3.2961"
"2023-04-12T13:28:34.468Z","Azure Monitor","japanwest","EUR","100 GB Commitment Tier Capacity Reservation","100","1/Day","280.4912","2019-11-01T00:00:00.000Z","85.0979","2.8049"
"2023-04-12T13:28:34.468Z","Azure Monitor","japanwest","EUR","200 GB Commitment Tier Capacity Reservation","200","1/Day","526.6365","2019-11-01T00:00:00.000Z","187.7559","2.6332"
"2023-04-12T13:28:34.468Z","Azure Monitor","japanwest","EUR","300 GB Commitment Tier Capacity Reservation","300","1/Day","772.7818","2019-11-01T00:00:00.000Z","293.4763","2.5759"
"2023-04-12T13:28:34.468Z","Azure Monitor","japanwest","EUR","400 GB Commitment Tier Capacity Reservation","400","1/Day","1007.4785","2019-11-01T00:00:00.000Z","391.1171","2.5187"
"2023-04-12T13:28:34.468Z","Azure Monitor","japanwest","EUR","500 GB Commitment Tier Capacity Reservation","500","1/Day","1237.882","2019-11-01T00:00:00.000Z","491.4766","2.4758"
"2023-04-12T13:28:34.468Z","Azure Monitor","japanwest","EUR","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","2432.8317","2021-06-01T02:00:00.000Z","982.6447","2.4328"
"2023-04-12T13:28:34.468Z","Azure Monitor","japanwest","EUR","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","4751.1772","2021-06-01T02:00:00.000Z","1952.9666","2.3756"
"2023-04-12T13:28:34.468Z","Azure Monitor","japanwest","EUR","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","11520.1736","2021-06-01T02:00:00.000Z","4849.3743","2.304"
"2023-05-02T08:07:40.927Z","Azure Monitor","japanwest","EUR","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","3.2327","2018-02-01T00:00:00.000Z","0","3.2327"
"2023-05-02T08:07:40.927Z","Azure Monitor","japanwest","EUR","100 GB Commitment Tier Capacity Reservation","100","1/Day","275.0939","2019-11-01T00:00:00.000Z","85.0973","2.7509"
"2023-05-02T08:07:40.927Z","Azure Monitor","japanwest","EUR","200 GB Commitment Tier Capacity Reservation","200","1/Day","516.5029","2019-11-01T00:00:00.000Z","187.7578","2.5825"
"2023-05-02T08:07:40.927Z","Azure Monitor","japanwest","EUR","300 GB Commitment Tier Capacity Reservation","300","1/Day","757.9119","2019-11-01T00:00:00.000Z","293.4799","2.5264"
"2023-05-02T08:07:40.927Z","Azure Monitor","japanwest","EUR","400 GB Commitment Tier Capacity Reservation","400","1/Day","988.0925","2019-11-01T00:00:00.000Z","391.1069","2.4702"
"2023-05-02T08:07:40.927Z","Azure Monitor","japanwest","EUR","500 GB Commitment Tier Capacity Reservation","500","1/Day","1214.0626","2019-11-01T00:00:00.000Z","491.4835","2.4281"
"2023-05-02T08:07:40.927Z","Azure Monitor","japanwest","EUR","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","2386.0189","2021-06-01T02:00:00.000Z","982.6691","2.386"
"2023-05-02T08:07:40.927Z","Azure Monitor","japanwest","EUR","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","4659.7546","2021-06-01T02:00:00.000Z","1952.9567","2.3299"
"2023-05-02T08:07:40.927Z","Azure Monitor","japanwest","EUR","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","11298.5014","2021-06-01T02:00:00.000Z","4849.3504","2.2597"
"2023-06-02T08:07:42.568Z","Azure Monitor","japanwest","EUR","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","3.3347","2018-02-01T00:00:00.000Z","0","3.3347"
"2023-06-02T08:07:42.568Z","Azure Monitor","japanwest","EUR","100 GB Commitment Tier Capacity Reservation","100","1/Day","283.7794","2019-11-01T00:00:00.000Z","85.0989","2.8378"
