"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T15:50:58.330Z","Azure Monitor","japanwest","AUD","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","5.3109","2018-02-01T00:00:00.000Z","0","5.3109"
"2023-03-29T15:50:58.330Z","Azure Monitor","japanwest","AUD","100 GB Commitment Tier Capacity Reservation","100","1/Day","451.9488","2019-11-01T00:00:00.000Z","85.0983","4.5195"
"2023-03-29T15:50:58.330Z","Azure Monitor","japanwest","AUD","200 GB Commitment Tier Capacity Reservation","200","1/Day","848.557","2019-11-01T00:00:00.000Z","187.7546","4.2428"
"2023-03-29T15:50:58.330Z","Azure Monitor","japanwest","AUD","300 GB Commitment Tier Capacity Reservation","300","1/Day","1245.1651","2019-11-01T00:00:00.000Z","293.4772","4.1506"
"2023-03-29T15:50:58.330Z","Azure Monitor","japanwest","AUD","400 GB Commitment Tier Capacity Reservation","400","1/Day","1623.3264","2019-11-01T00:00:00.000Z","391.1064","4.0583"
"2023-03-29T15:50:58.330Z","Azure Monitor","japanwest","AUD","500 GB Commitment Tier Capacity Reservation","500","1/Day","1994.5701","2019-11-01T00:00:00.000Z","491.4792","3.9891"
"2023-03-29T15:50:58.330Z","Azure Monitor","japanwest","AUD","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","3919.9643","2021-06-01T02:00:00.000Z","982.6688","3.92"
"2023-03-29T15:50:58.330Z","Azure Monitor","japanwest","AUD","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","7655.4597","2021-06-01T02:00:00.000Z","1952.9234","3.8277"
"2023-03-29T15:50:58.330Z","Azure Monitor","japanwest","AUD","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","18562.1839","2021-06-01T02:00:00.000Z","4849.4354","3.7124"
"2023-04-12T13:28:34.468Z","Azure Monitor","japanwest","AUD","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","5.3415","2018-02-01T00:00:00.000Z","0","5.3415"
"2023-04-12T13:28:34.468Z","Azure Monitor","japanwest","AUD","100 GB Commitment Tier Capacity Reservation","100","1/Day","454.5523","2019-11-01T00:00:00.000Z","85.0982","4.5455"
"2023-04-12T13:28:34.468Z","Azure Monitor","japanwest","AUD","200 GB Commitment Tier Capacity Reservation","200","1/Day","853.4451","2019-11-01T00:00:00.000Z","187.756","4.2672"
"2023-04-12T13:28:34.468Z","Azure Monitor","japanwest","AUD","300 GB Commitment Tier Capacity Reservation","300","1/Day","1252.3378","2019-11-01T00:00:00.000Z","293.48","4.1745"
"2023-04-12T13:28:34.468Z","Azure Monitor","japanwest","AUD","400 GB Commitment Tier Capacity Reservation","400","1/Day","1632.6775","2019-11-01T00:00:00.000Z","391.1073","4.0817"
"2023-04-12T13:28:34.468Z","Azure Monitor","japanwest","AUD","500 GB Commitment Tier Capacity Reservation","500","1/Day","2006.0597","2019-11-01T00:00:00.000Z","491.4765","4.0121"
"2023-04-12T13:28:34.468Z","Azure Monitor","japanwest","AUD","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","3942.5451","2021-06-01T02:00:00.000Z","982.6637","3.9425"
"2023-04-12T13:28:34.468Z","Azure Monitor","japanwest","AUD","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","7699.5586","2021-06-01T02:00:00.000Z","1952.9635","3.8498"
"2023-04-12T13:28:34.468Z","Azure Monitor","japanwest","AUD","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","18669.1105","2021-06-01T02:00:00.000Z","4849.3715","3.7338"
"2023-05-02T08:07:40.927Z","Azure Monitor","japanwest","AUD","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","5.4021","2018-02-01T00:00:00.000Z","0","5.4021"
"2023-05-02T08:07:40.927Z","Azure Monitor","japanwest","AUD","100 GB Commitment Tier Capacity Reservation","100","1/Day","459.711","2019-11-01T00:00:00.000Z","85.0986","4.5971"
"2023-05-02T08:07:40.927Z","Azure Monitor","japanwest","AUD","200 GB Commitment Tier Capacity Reservation","200","1/Day","863.1308","2019-11-01T00:00:00.000Z","187.7555","4.3157"
"2023-05-02T08:07:40.927Z","Azure Monitor","japanwest","AUD","300 GB Commitment Tier Capacity Reservation","300","1/Day","1266.5507","2019-11-01T00:00:00.000Z","293.4751","4.2218"
"2023-05-02T08:07:40.927Z","Azure Monitor","japanwest","AUD","400 GB Commitment Tier Capacity Reservation","400","1/Day","1651.2068","2019-11-01T00:00:00.000Z","391.1144","4.128"
"2023-05-02T08:07:40.927Z","Azure Monitor","japanwest","AUD","500 GB Commitment Tier Capacity Reservation","500","1/Day","2028.8265","2019-11-01T00:00:00.000Z","491.4793","4.0577"
"2023-05-02T08:07:40.927Z","Azure Monitor","japanwest","AUD","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","3987.2891","2021-06-01T02:00:00.000Z","982.6476","3.9873"
"2023-05-02T08:07:40.927Z","Azure Monitor","japanwest","AUD","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","7786.9411","2021-06-01T02:00:00.000Z","1952.9358","3.8935"
"2023-05-02T08:07:40.927Z","Azure Monitor","japanwest","AUD","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","18880.9866","2021-06-01T02:00:00.000Z","4849.3609","3.7762"
"2023-06-02T08:07:42.568Z","Azure Monitor","japanwest","AUD","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","5.486","2018-02-01T00:00:00.000Z","0","5.486"
"2023-06-02T08:07:42.568Z","Azure Monitor","japanwest","AUD","100 GB Commitment Tier Capacity Reservation","100","1/Day","466.8459","2019-11-01T00:00:00.000Z","85.0977","4.6685"
"2023-06-02T08:07:42.568Z","Azure Monitor","japanwest","AUD","200 GB Commitment Tier Capacity Reservation","200","1/Day","876.5271","2019-11-01T00:00:00.000Z","187.7535","4.3826"
"2023-06-02T08:07:42.568Z","Azure Monitor","japanwest","AUD","300 GB Commitment Tier Capacity Reservation","300","1/Day","1286.2082","2019-11-01T00:00:00.000Z","293.4806","4.2874"
"2023-06-02T08:07:42.568Z","Azure Monitor","japanwest","AUD","400 GB Commitment Tier Capacity Reservation","400","1/Day","1676.8344","2019-11-01T00:00:00.000Z","391.1075","4.1921"
"2023-06-02T08:07:42.568Z","Azure Monitor","japanwest","AUD","500 GB Commitment Tier Capacity Reservation","500","1/Day","2060.315","2019-11-01T00:00:00.000Z","491.4756","4.1206"
