"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T13:50:58.330Z","Azure Monitor","westindia","BRL","Pay-as-you-go","1 GB","17.9212","2018-02-01T00:00:00.000Z","0","17.9212"
"2023-03-29T13:50:58.330Z","Azure Monitor","westindia","BRL","100","1/Day","1405.0219","2019-11-01T00:00:00.000Z","78.4","14.0502"
"2023-03-29T13:50:58.330Z","Azure Monitor","westindia","BRL","200","1/Day","2638.0003","2019-11-01T00:00:00.000Z","187.7554","13.19"
"2023-03-29T13:50:58.330Z","Azure Monitor","westindia","BRL","300","1/Day","3870.9787","2019-11-01T00:00:00.000Z","293.4783","12.9033"
"2023-03-29T13:50:58.330Z","Azure Monitor","westindia","BRL","400","1/Day","5046.6092","2019-11-01T00:00:00.000Z","391.11","12.6165"
"2023-03-29T13:50:58.330Z","Azure Monitor","westindia","BRL","500","1/Day","6200.7343","2019-11-01T00:00:00.000Z","491.4782","12.4015"
"2023-03-29T13:50:58.330Z","Azure Monitor","westindia","BRL","1000","1/Day","12186.4143","2021-06-01T00:00:00.000Z","982.6565","12.1864"
"2023-03-29T13:50:58.330Z","Azure Monitor","westindia","BRL","2000","1/Day","23799.3503","2021-06-01T00:00:00.000Z","1952.9435","11.8997"
"2023-03-29T13:50:58.330Z","Azure Monitor","westindia","BRL","5000","1/Day","57706.256","2021-06-01T00:00:00.000Z","4849.3875","11.5413"
"2023-04-12T11:28:34.468Z","Azure Monitor","westindia","BRL","Pay-as-you-go","1 GB","17.7584","2018-02-01T00:00:00.000Z","0","17.7584"
"2023-04-12T11:28:34.468Z","Azure Monitor","westindia","BRL","100","1/Day","1392.2552","2019-11-01T00:00:00.000Z","78.3998","13.9226"
"2023-04-12T11:28:34.468Z","Azure Monitor","westindia","BRL","200","1/Day","2614.0302","2019-11-01T00:00:00.000Z","187.7545","13.0702"
"2023-04-12T11:28:34.468Z","Azure Monitor","westindia","BRL","300","1/Day","3835.8052","2019-11-01T00:00:00.000Z","293.4772","12.786"
"2023-04-12T11:28:34.468Z","Azure Monitor","westindia","BRL","400","1/Day","5000.7535","2019-11-01T00:00:00.000Z","391.1116","12.5019"
"2023-04-12T11:28:34.468Z","Azure Monitor","westindia","BRL","500","1/Day","6144.3917","2019-11-01T00:00:00.000Z","491.4766","12.2888"
"2023-04-12T11:28:34.468Z","Azure Monitor","westindia","BRL","1000","1/Day","12075.6831","2021-06-01T00:00:00.000Z","982.6576","12.0757"
"2023-04-12T11:28:34.468Z","Azure Monitor","westindia","BRL","2000","1/Day","23583.0988","2021-06-01T00:00:00.000Z","1952.9384","11.7915"
"2023-04-12T11:28:34.468Z","Azure Monitor","westindia","BRL","5000","1/Day","57181.9111","2021-06-01T00:00:00.000Z","4849.4179","11.4364"
"2023-05-02T06:07:40.927Z","Azure Monitor","westindia","BRL","Pay-as-you-go","1 GB","17.4256","2018-02-01T00:00:00.000Z","0","17.4256"
"2023-05-02T06:07:40.927Z","Azure Monitor","westindia","BRL","100","1/Day","1366.1674","2019-11-01T00:00:00.000Z","78.4000","13.6617"
"2023-05-02T06:07:40.927Z","Azure Monitor","westindia","BRL","200","1/Day","2565.0491","2019-11-01T00:00:00.000Z","187.7548","12.8252"
"2023-05-02T06:07:40.927Z","Azure Monitor","westindia","BRL","300","1/Day","3763.9307","2019-11-01T00:00:00.000Z","293.4793","12.5464"
"2023-05-02T06:07:40.927Z","Azure Monitor","westindia","BRL","400","1/Day","4907.0504","2019-11-01T00:00:00.000Z","391.1122","12.2676"
"2023-05-02T06:07:40.927Z","Azure Monitor","westindia","BRL","500","1/Day","6029.2593","2019-11-01T00:00:00.000Z","491.4783","12.0585"
"2023-05-02T06:07:40.927Z","Azure Monitor","westindia","BRL","1000","1/Day","11849.4114","2021-06-01T00:00:00.000Z","982.6605","11.8494"
"2023-05-02T06:07:40.927Z","Azure Monitor","westindia","BRL","2000","1/Day","23141.2034","2021-06-01T00:00:00.000Z","1952.9431","11.5706"
"2023-05-02T06:07:40.927Z","Azure Monitor","westindia","BRL","5000","1/Day","56110.4481","2021-06-01T00:00:00.000Z","4849.3983","11.2221"
