"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T15:50:58.330Z","Azure Monitor","westus","CNY","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","20.7633","2018-02-01T00:00:00.000Z","0","20.7633"
"2023-03-29T15:50:58.330Z","Azure Monitor","westus","CNY","100 GB Commitment Tier Capacity Reservation","100","1/Day","1524.4018","2019-11-01T00:00:00.000Z","73.4181","15.244"
"2023-03-29T15:50:58.330Z","Azure Monitor","westus","CNY","200 GB Commitment Tier Capacity Reservation","200","1/Day","2862.1421","2019-11-01T00:00:00.000Z","187.7553","14.3107"
"2023-03-29T15:50:58.330Z","Azure Monitor","westus","CNY","300 GB Commitment Tier Capacity Reservation","300","1/Day","4199.8824","2019-11-01T00:00:00.000Z","293.4785","13.9996"
"2023-03-29T15:50:58.330Z","Azure Monitor","westus","CNY","400 GB Commitment Tier Capacity Reservation","400","1/Day","5475.4022","2019-11-01T00:00:00.000Z","391.1113","13.6885"
"2023-03-29T15:50:58.330Z","Azure Monitor","westus","CNY","500 GB Commitment Tier Capacity Reservation","500","1/Day","6727.5894","2019-11-01T00:00:00.000Z","491.4775","13.4552"
"2023-03-29T15:50:58.330Z","Azure Monitor","westus","CNY","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","13221.852","2021-06-01T02:00:00.000Z","982.6574","13.2219"
"2023-03-29T15:50:58.330Z","Azure Monitor","westus","CNY","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","25821.4992","2021-06-01T02:00:00.000Z","1952.9341","12.9107"
"2023-03-29T15:50:58.330Z","Azure Monitor","westus","CNY","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","62609.358","2021-06-01T02:00:00.000Z","4849.4162","12.5219"
"2023-04-12T13:28:34.468Z","Azure Monitor","westus","CNY","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","20.5947","2018-02-01T00:00:00.000Z","0","20.5947"
"2023-04-12T13:28:34.468Z","Azure Monitor","westus","CNY","100 GB Commitment Tier Capacity Reservation","100","1/Day","1512.0208","2019-11-01T00:00:00.000Z","73.418","15.1202"
"2023-04-12T13:28:34.468Z","Azure Monitor","westus","CNY","200 GB Commitment Tier Capacity Reservation","200","1/Day","2838.8963","2019-11-01T00:00:00.000Z","187.7552","14.1945"
"2023-04-12T13:28:34.468Z","Azure Monitor","westus","CNY","300 GB Commitment Tier Capacity Reservation","300","1/Day","4165.7717","2019-11-01T00:00:00.000Z","293.4779","13.8859"
"2023-04-12T13:28:34.468Z","Azure Monitor","westus","CNY","400 GB Commitment Tier Capacity Reservation","400","1/Day","5430.932","2019-11-01T00:00:00.000Z","391.1113","13.5773"
"2023-04-12T13:28:34.468Z","Azure Monitor","westus","CNY","500 GB Commitment Tier Capacity Reservation","500","1/Day","6672.9491","2019-11-01T00:00:00.000Z","491.4784","13.3459"
