"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T13:50:58.330Z","Azure Monitor","ukwest","CNY","Pay-as-you-go","1 GB","19.9994","2018-02-01T00:00:00.000Z","0","19.9994"
"2023-03-29T13:50:58.330Z","Azure Monitor","ukwest","CNY","100","1/Day","1755.7842","2019-11-01T00:00:00.000Z","87.7918","17.5578"
"2023-03-29T13:50:58.330Z","Azure Monitor","ukwest","CNY","200","1/Day","3296.5744","2019-11-01T00:00:00.000Z","187.7556","16.4829"
"2023-03-29T13:50:58.330Z","Azure Monitor","ukwest","CNY","300","1/Day","4837.3646","2019-11-01T00:00:00.000Z","293.4778","16.1245"
"2023-03-29T13:50:58.330Z","Azure Monitor","ukwest","CNY","400","1/Day","6306.4901","2019-11-01T00:00:00.000Z","391.1123","15.7662"
"2023-03-29T13:50:58.330Z","Azure Monitor","ukwest","CNY","500","1/Day","7748.7414","2019-11-01T00:00:00.000Z","491.4781","15.4975"
"2023-03-29T13:50:58.330Z","Azure Monitor","ukwest","CNY","1000","1/Day","15228.7403","2021-06-01T00:00:00.000Z","982.6579","15.2287"
"2023-03-29T13:50:58.330Z","Azure Monitor","ukwest","CNY","2000","1/Day","29740.8339","2021-06-01T00:00:00.000Z","1952.9463","14.8704"
"2023-03-29T13:50:58.330Z","Azure Monitor","ukwest","CNY","5000","1/Day","72112.5641","2021-06-01T00:00:00.000Z","4849.4031","14.4225"
"2023-04-12T11:28:34.468Z","Azure Monitor","ukwest","CNY","Pay-as-you-go","1 GB","19.837","2018-02-01T00:00:00.000Z","0","19.837"
"2023-04-12T11:28:34.468Z","Azure Monitor","ukwest","CNY","100","1/Day","1741.524","2019-11-01T00:00:00.000Z","87.7917","17.4152"
"2023-04-12T11:28:34.468Z","Azure Monitor","ukwest","CNY","200","1/Day","3269.8002","2019-11-01T00:00:00.000Z","187.7555","16.3490"
"2023-04-12T11:28:34.468Z","Azure Monitor","ukwest","CNY","300","1/Day","4798.0763","2019-11-01T00:00:00.000Z","293.4783","15.9936"
"2023-04-12T11:28:34.468Z","Azure Monitor","ukwest","CNY","400","1/Day","6255.2699","2019-11-01T00:00:00.000Z","391.1108","15.6382"
"2023-04-12T11:28:34.468Z","Azure Monitor","ukwest","CNY","500","1/Day","7685.8074","2019-11-01T00:00:00.000Z","491.4765","15.3716"
"2023-04-12T11:28:34.468Z","Azure Monitor","ukwest","CNY","1000","1/Day","15105.055","2021-06-01T00:00:00.000Z","982.6599","15.1051"
"2023-04-12T11:28:34.468Z","Azure Monitor","ukwest","CNY","2000","1/Day","29499.284","2021-06-01T00:00:00.000Z","1952.9354","14.7496"
"2023-04-12T11:28:34.468Z","Azure Monitor","ukwest","CNY","5000","1/Day","71526.8783","2021-06-01T00:00:00.000Z","4849.4114","14.3054"
