"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T13:50:58.330Z","Azure Monitor","jioindiawest","SEK","Pay-as-you-go","1 GB","33.7836","2021-04-15T00:00:00.000Z","0","33.7836"
"2023-03-29T13:50:58.330Z","Azure Monitor","jioindiawest","SEK","100","1/Day","2878.9499","2021-04-15T00:00:00.000Z","85.2174","28.7895"
"2023-03-29T13:50:58.330Z","Azure Monitor","jioindiawest","SEK","200","1/Day","5405.3754","2021-04-15T00:00:00.000Z","187.7551","27.0269"
"2023-03-29T13:50:58.330Z","Azure Monitor","jioindiawest","SEK","300","1/Day","7931.8008","2021-04-15T00:00:00.000Z","293.478","26.4393"
"2023-03-29T13:50:58.330Z","Azure Monitor","jioindiawest","SEK","400","1/Day","10340.7181","2021-04-15T00:00:00.000Z","391.1116","25.8518"
"2023-03-29T13:50:58.330Z","Azure Monitor","jioindiawest","SEK","500","1/Day","12705.5698","2021-04-15T00:00:00.000Z","491.4772","25.4111"
"2023-04-12T11:28:34.468Z","Azure Monitor","jioindiawest","SEK","Pay-as-you-go","1 GB","33.5291","2021-04-15T00:00:00.000Z","0","33.5291"
"2023-04-12T11:28:34.468Z","Azure Monitor","jioindiawest","SEK","100","1/Day","2857.2586","2021-04-15T00:00:00.000Z","85.2173","28.5726"
"2023-04-12T11:28:34.468Z","Azure Monitor","jioindiawest","SEK","200","1/Day","5364.6488","2021-04-15T00:00:00.000Z","187.755","26.8232"
"2023-04-12T11:28:34.468Z","Azure Monitor","jioindiawest","SEK","300","1/Day","7872.039","2021-04-15T00:00:00.000Z","293.4787","26.2401"
"2023-04-12T11:28:34.468Z","Azure Monitor","jioindiawest","SEK","400","1/Day","10262.8064","2021-04-15T00:00:00.000Z","391.1116","25.657"
"2023-04-12T11:28:34.468Z","Azure Monitor","jioindiawest","SEK","500","1/Day","12609.8403","2021-04-15T00:00:00.000Z","491.4776","25.2197"
"2023-05-02T06:07:40.927Z","Azure Monitor","jioindiawest","SEK","Pay-as-you-go","1 GB","33.2628","2021-04-15T00:00:00.000Z","0","33.2628"
"2023-05-02T06:07:40.927Z","Azure Monitor","jioindiawest","SEK","100","1/Day","2834.5657","2021-04-15T00:00:00.000Z","85.2173","28.3457"
"2023-05-02T06:07:40.927Z","Azure Monitor","jioindiawest","SEK","200","1/Day","5322.0418","2021-04-15T00:00:00.000Z","187.7548","26.6102"
"2023-05-02T06:07:40.927Z","Azure Monitor","jioindiawest","SEK","300","1/Day","7809.5178","2021-04-15T00:00:00.000Z","293.4784","26.0317"
"2023-05-02T06:07:40.927Z","Azure Monitor","jioindiawest","SEK","400","1/Day","10181.2973","2021-04-15T00:00:00.000Z","391.1115","25.4532"
"2023-05-02T06:07:40.927Z","Azure Monitor","jioindiawest","SEK","500","1/Day","12509.6906","2021-04-15T00:00:00.000Z","491.4781","25.0194"
