"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T13:50:58.330Z","Sentinel","jioindiacentral","EUR","Pay-as-you-go","1 GB","2.6562","2021-08-01T00:00:00.000Z","0","2.6562"
"2023-03-29T13:50:58.330Z","Sentinel","jioindiacentral","EUR","100","1/Day","132.8084","2021-08-01T00:00:00.000Z","49.9994","1.3281"
"2023-03-29T13:50:58.330Z","Sentinel","jioindiacentral","EUR","200","1/Day","239.0552","2021-08-01T00:00:00.000Z","179.9979","1.1953"
"2023-03-29T13:50:58.330Z","Sentinel","jioindiacentral","EUR","300","1/Day","345.3019","2021-08-01T00:00:00.000Z","288.883","1.151"
"2023-03-29T13:50:58.330Z","Sentinel","jioindiacentral","EUR","400","1/Day","442.6884","2021-08-01T00:00:00.000Z","384.612","1.1067"
"2023-03-29T13:50:58.330Z","Sentinel","jioindiacentral","EUR","500","1/Day","531.2337","2021-08-01T00:00:00.000Z","480.016","1.0625"
"2023-03-29T13:50:58.330Z","Sentinel","jioindiacentral","EUR","1000","1/Day","1035.9057","2021-08-01T00:00:00.000Z","974.9701","1.0359"
"2023-03-29T13:50:58.330Z","Sentinel","jioindiacentral","EUR","2000","1/Day","1965.5647","2021-08-01T00:00:00.000Z","1897.4464","0.9828"
"2023-03-29T13:50:58.330Z","Sentinel","jioindiacentral","EUR","5000","1/Day","4648.2948","2021-08-01T00:00:00.000Z","4729.6447","0.9297"
"2023-04-12T11:28:34.468Z","Sentinel","jioindiacentral","EUR","Pay-as-you-go","1 GB","2.5852","2021-08-01T00:00:00.000Z","0","2.5852"
"2023-04-12T11:28:34.468Z","Sentinel","jioindiacentral","EUR","100","1/Day","129.2586","2021-08-01T00:00:00.000Z","49.9995","1.2926"
"2023-04-12T11:28:34.468Z","Sentinel","jioindiacentral","EUR","200","1/Day","232.6655","2021-08-01T00:00:00.000Z","179.9981","1.1633"
"2023-04-12T11:28:34.468Z","Sentinel","jioindiacentral","EUR","300","1/Day","336.0724","2021-08-01T00:00:00.000Z","288.8957","1.1202"
"2023-04-12T11:28:34.468Z","Sentinel","jioindiacentral","EUR","400","1/Day","430.8559","2021-08-01T00:00:00.000Z","384.6241","1.0771"
"2023-04-12T11:28:34.468Z","Sentinel","jioindiacentral","EUR","500","1/Day","517.0344","2021-08-01T00:00:00.000Z","480.0245","1.0341"
"2023-04-12T11:28:34.468Z","Sentinel","jioindiacentral","EUR","1000","1/Day","1008.2172","2021-08-01T00:00:00.000Z","974.9707","1.0082"
"2023-04-12T11:28:34.468Z","Sentinel","jioindiacentral","EUR","2000","1/Day","1913.0274","2021-08-01T00:00:00.000Z","1897.4682","0.9565"
"2023-04-12T11:28:34.468Z","Sentinel","jioindiacentral","EUR","5000","1/Day","4524.0513","2021-08-01T00:00:00.000Z","4729.7975","0.9048"
