"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T13:50:58.330Z","Sentinel","eastus","EUR","Pay-as-you-go","1 GB","1.8973","2019-09-24T00:00:00.000Z","0","1.8973"
"2023-03-29T13:50:58.330Z","Sentinel","eastus","EUR","100","1/Day","94.8632","2019-09-24T00:00:00.000Z","49.9991","0.9486"
"2023-03-29T13:50:58.330Z","Sentinel","eastus","EUR","200","1/Day","170.7537","2019-09-24T00:00:00.000Z","180.006","0.8538"
"2023-03-29T13:50:58.330Z","Sentinel","eastus","EUR","300","1/Day","246.6442","2019-09-24T00:00:00.000Z","288.8782","0.8221"
"2023-03-29T13:50:58.330Z","Sentinel","eastus","EUR","400","1/Day","316.2074","2019-09-24T00:00:00.000Z","384.6337","0.7905"
"2023-03-29T13:50:58.330Z","Sentinel","eastus","EUR","500","1/Day","379.4526","2019-09-24T00:00:00.000Z","480.0159","0.7589"
"2023-03-29T13:50:58.330Z","Sentinel","eastus","EUR","1000","1/Day","739.9326","2021-06-01T00:00:00.000Z","975.0067","0.7399"
"2023-03-29T13:50:58.330Z","Sentinel","eastus","EUR","2000","1/Day","1403.9748","2021-06-01T00:00:00.000Z","1897.5197","0.702"
"2023-03-29T13:50:58.330Z","Sentinel","eastus","EUR","5000","1/Day","3320.2106","2021-06-01T00:00:00.000Z","4729.6447","0.664"
"2023-04-12T11:28:34.468Z","Sentinel","eastus","EUR","Pay-as-you-go","1 GB","1.8466","2019-09-24T00:00:00.000Z","0","1.8466"
"2023-04-12T11:28:34.468Z","Sentinel","eastus","EUR","100","1/Day","92.3276","2019-09-24T00:00:00.000Z","49.9987","0.9233"
"2023-04-12T11:28:34.468Z","Sentinel","eastus","EUR","200","1/Day","166.1896","2019-09-24T00:00:00.000Z","179.9952","0.8309"
"2023-04-12T11:28:34.468Z","Sentinel","eastus","EUR","300","1/Day","240.0517","2019-09-24T00:00:00.000Z","288.9056","0.8002"
"2023-04-12T11:28:34.468Z","Sentinel","eastus","EUR","400","1/Day","307.7555","2019-09-24T00:00:00.000Z","384.5982","0.7694"
"2023-04-12T11:28:34.468Z","Sentinel","eastus","EUR","500","1/Day","369.3103","2019-09-24T00:00:00.000Z","479.9978","0.7386"
"2023-04-12T11:28:34.468Z","Sentinel","eastus","EUR","1000","1/Day","720.1551","2021-06-01T00:00:00.000Z","975.0272","0.7202"
"2023-04-12T11:28:34.468Z","Sentinel","eastus","EUR","2000","1/Day","1366.4482","2021-06-01T00:00:00.000Z","1897.3177","0.6832"
"2023-04-12T11:28:34.468Z","Sentinel","eastus","EUR","5000","1/Day","3231.4652","2021-06-01T00:00:00.000Z","4729.8964","0.6463"
"2023-05-02T06:07:40.927Z","Sentinel","eastus","EUR","Pay-as-you-go","1 GB","1.811","2019-09-24T00:00:00.000Z","0","1.811"
"2023-05-02T06:07:40.927Z","Sentinel","eastus","EUR","100","1/Day","90.551","2019-09-24T00:00:00.000Z","50.0006","0.9055"
"2023-05-02T06:07:40.927Z","Sentinel","eastus","EUR","200","1/Day","162.9918","2019-09-24T00:00:00.000Z","180.0020","0.8150"
"2023-05-02T06:07:40.927Z","Sentinel","eastus","EUR","300","1/Day","235.4326","2019-09-24T00:00:00.000Z","288.8744","0.7848"
"2023-05-02T06:07:40.927Z","Sentinel","eastus","EUR","400","1/Day","301.8337","2019-09-24T00:00:00.000Z","384.5995","0.7546"
"2023-05-02T06:07:40.927Z","Sentinel","eastus","EUR","500","1/Day","362.204","2019-09-24T00:00:00.000Z","479.9947","0.7244"
"2023-05-02T06:07:40.927Z","Sentinel","eastus","EUR","1000","1/Day","706.2978","2021-06-01T00:00:00.000Z","975.0108","0.7063"
"2023-05-02T06:07:40.927Z","Sentinel","eastus","EUR","2000","1/Day","1340.1548","2021-06-01T00:00:00.000Z","1897.4300","0.6701"
"2023-05-02T06:07:40.927Z","Sentinel","eastus","EUR","5000","1/Day","3169.2851","2021-06-01T00:00:00.000Z","4729.5704","0.6339"
