"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-09-11T15:21:36.457Z","Sentinel","uaenorth","JPY","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","867.6776","2023-07-01T00:00:00.000Z","0","867.6776"
"2023-09-11T15:21:36.457Z","Sentinel","uaenorth","JPY","100 GB Commitment Tier Capacity Reservation","100","1/Day","56309.7888","2023-07-01T00:00:00.000Z","64.8971","563.0979"
"2023-09-11T15:21:36.457Z","Sentinel","uaenorth","JPY","200 GB Commitment Tier Capacity Reservation","200","1/Day","104226.6624","2023-07-01T00:00:00.000Z","185.0951","521.1333"
"2023-09-11T15:21:36.457Z","Sentinel","uaenorth","JPY","300 GB Commitment Tier Capacity Reservation","300","1/Day","152143.536","2023-07-01T00:00:00.000Z","291.9474","507.1451"
"2023-09-11T15:21:36.457Z","Sentinel","uaenorth","JPY","400 GB Commitment Tier Capacity Reservation","400","1/Day","197262.7712","2023-07-01T00:00:00.000Z","388.9671","493.1569"
"2023-09-11T15:21:36.457Z","Sentinel","uaenorth","JPY","500 GB Commitment Tier Capacity Reservation","500","1/Day","240528.132","2023-07-01T00:00:00.000Z","487.7315","481.0563"
"2023-09-11T15:21:36.457Z","Sentinel","uaenorth","JPY","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","471530.832","2023-07-01T00:00:00.000Z","980.1988","471.5308"
"2023-09-11T15:21:36.457Z","Sentinel","uaenorth","JPY","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","912510.048","2023-07-01T00:00:00.000Z","1935.2077","456.255"
"2023-09-11T15:21:36.457Z","Sentinel","uaenorth","JPY","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","2195458.44","2023-07-01T00:00:00.000Z","4811.911","439.0917"
"2023-10-02T06:09:57.719Z","Sentinel","uaenorth","JPY","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","886.3868","2023-07-01T00:00:00.000Z","0","886.3868"
"2023-10-02T06:09:57.719Z","Sentinel","uaenorth","JPY","100 GB Commitment Tier Capacity Reservation","100","1/Day","57523.959","2023-07-01T00:00:00.000Z","64.8971","575.2396"
"2023-10-02T06:09:57.719Z","Sentinel","uaenorth","JPY","200 GB Commitment Tier Capacity Reservation","200","1/Day","106474.032","2023-07-01T00:00:00.000Z","185.0951","532.3702"
"2023-10-02T06:09:57.719Z","Sentinel","uaenorth","JPY","300 GB Commitment Tier Capacity Reservation","300","1/Day","155424.105","2023-07-01T00:00:00.000Z","291.9474","518.0804"
"2023-10-02T06:09:57.719Z","Sentinel","uaenorth","JPY","400 GB Commitment Tier Capacity Reservation","400","1/Day","201516.216","2023-07-01T00:00:00.000Z","388.9671","503.7905"
"2023-10-02T06:09:57.719Z","Sentinel","uaenorth","JPY","500 GB Commitment Tier Capacity Reservation","500","1/Day","245714.4788","2023-07-01T00:00:00.000Z","487.7315","491.4290"
"2023-10-02T06:09:57.719Z","Sentinel","uaenorth","JPY","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","481698.135","2023-07-01T00:00:00.000Z","980.1988","481.6981"
"2023-10-02T06:09:57.719Z","Sentinel","uaenorth","JPY","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","932185.89","2023-07-01T00:00:00.000Z","1935.2077","466.0929"
"2023-10-02T06:09:57.719Z","Sentinel","uaenorth","JPY","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","2242797.6375","2023-07-01T00:00:00.000Z","4811.9112","448.5595"
