"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T13:50:58.330Z","Sentinel","eastus2","NOK","Pay-as-you-go","1 GB","20.8292","2019-09-24T00:00:00.000Z","0","20.8292"
"2023-03-29T13:50:58.330Z","Sentinel","eastus2","NOK","100","1/Day","1041.46","2019-09-24T00:00:00.000Z","50","10.4146"
"2023-03-29T13:50:58.330Z","Sentinel","eastus2","NOK","200","1/Day","1874.628","2019-09-24T00:00:00.000Z","180","9.3731"
"2023-03-29T13:50:58.330Z","Sentinel","eastus2","NOK","300","1/Day","2707.796","2019-09-24T00:00:00.000Z","288.8901","9.026"
"2023-03-29T13:50:58.330Z","Sentinel","eastus2","NOK","400","1/Day","3471.4986","2019-09-24T00:00:00.000Z","384.611","8.6787"
"2023-03-29T13:50:58.330Z","Sentinel","eastus2","NOK","500","1/Day","4165.84","2019-09-24T00:00:00.000Z","480.0074","8.3317"
"2023-03-29T13:50:58.330Z","Sentinel","eastus2","NOK","1000","1/Day","8123.388","2021-06-01T00:00:00.000Z","974.9977","8.1234"
"2023-03-29T13:50:58.330Z","Sentinel","eastus2","NOK","2000","1/Day","15413.608","2021-06-01T00:00:00.000Z","1897.4331","7.7068"
"2023-03-29T13:50:58.330Z","Sentinel","eastus2","NOK","5000","1/Day","36451.1","2021-06-01T00:00:00.000Z","4729.7322","7.2902"
"2023-04-12T11:28:34.468Z","Sentinel","eastus2","NOK","Pay-as-you-go","1 GB","20.8485","2019-09-24T00:00:00.000Z","0","20.8485"
"2023-04-12T11:28:34.468Z","Sentinel","eastus2","NOK","100","1/Day","1042.425","2019-09-24T00:00:00.000Z","50","10.4242"
"2023-04-12T11:28:34.468Z","Sentinel","eastus2","NOK","200","1/Day","1876.365","2019-09-24T00:00:00.000Z","180.0009","9.3818"
"2023-04-12T11:28:34.468Z","Sentinel","eastus2","NOK","300","1/Day","2710.305","2019-09-24T00:00:00.000Z","288.8897","9.0344"
"2023-04-12T11:28:34.468Z","Sentinel","eastus2","NOK","400","1/Day","3474.7153","2019-09-24T00:00:00.000Z","384.6094","8.6868"
"2023-04-12T11:28:34.468Z","Sentinel","eastus2","NOK","500","1/Day","4169.7","2019-09-24T00:00:00.000Z","480.0041","8.3394"
"2023-04-12T11:28:34.468Z","Sentinel","eastus2","NOK","1000","1/Day","8130.915","2021-06-01T00:00:00.000Z","975","8.1309"
"2023-04-12T11:28:34.468Z","Sentinel","eastus2","NOK","2000","1/Day","15427.89","2021-06-01T00:00:00.000Z","1897.4394","7.7139"
"2023-04-12T11:28:34.468Z","Sentinel","eastus2","NOK","5000","1/Day","36484.875","2021-06-01T00:00:00.000Z","4729.7573","7.2970"
