"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T13:50:58.330Z","Sentinel","usgovvirginia","CAD","Pay-as-you-go","1 GB","3.411","2019-09-24T00:00:00.000Z","0","3.411"
"2023-03-29T13:50:58.330Z","Sentinel","usgovvirginia","CAD","100","1/Day","170.55","2019-09-24T00:00:00.000Z","50","1.7055"
"2023-03-29T13:50:58.330Z","Sentinel","usgovvirginia","CAD","200","1/Day","306.99","2019-09-24T00:00:00.000Z","180","1.535"
"2023-03-29T13:50:58.330Z","Sentinel","usgovvirginia","CAD","300","1/Day","443.43","2019-09-24T00:00:00.000Z","288.8795","1.4781"
"2023-03-29T13:50:58.330Z","Sentinel","usgovvirginia","CAD","400","1/Day","568.4909","2019-09-24T00:00:00.000Z","384.6092","1.4212"
"2023-03-29T13:50:58.330Z","Sentinel","usgovvirginia","CAD","500","1/Day","682.2","2019-09-24T00:00:00.000Z","480.0169","1.3644"
"2023-03-29T13:50:58.330Z","Sentinel","usgovvirginia","CAD","1000","1/Day","1330.29","2021-06-01T00:00:00.000Z","975","1.3303"
"2023-03-29T13:50:58.330Z","Sentinel","usgovvirginia","CAD","2000","1/Day","2524.14","2021-06-01T00:00:00.000Z","1897.4216","1.2621"
"2023-03-29T13:50:58.330Z","Sentinel","usgovvirginia","CAD","5000","1/Day","5969.25","2021-06-01T00:00:00.000Z","4729.6173","1.1938"
"2023-04-12T11:28:34.468Z","Sentinel","usgovvirginia","CAD","Pay-as-you-go","1 GB","3.3964","2019-09-24T00:00:00.000Z","0","3.3964"
"2023-04-12T11:28:34.468Z","Sentinel","usgovvirginia","CAD","100","1/Day","169.8188","2019-09-24T00:00:00.000Z","49.9996","1.6982"
"2023-04-12T11:28:34.468Z","Sentinel","usgovvirginia","CAD","200","1/Day","305.6738","2019-09-24T00:00:00.000Z","179.9987","1.5284"
"2023-04-12T11:28:34.468Z","Sentinel","usgovvirginia","CAD","300","1/Day","441.5288","2019-09-24T00:00:00.000Z","288.883","1.4718"
"2023-04-12T11:28:34.468Z","Sentinel","usgovvirginia","CAD","400","1/Day","566.0534","2019-09-24T00:00:00.000Z","384.5994","1.4151"
"2023-04-12T11:28:34.468Z","Sentinel","usgovvirginia","CAD","500","1/Day","679.275","2019-09-24T00:00:00.000Z","480.0191","1.3586"
"2023-04-12T11:28:34.468Z","Sentinel","usgovvirginia","CAD","1000","1/Day","1324.5863","2021-06-01T00:00:00.000Z","974.9642","1.3246"
"2023-04-12T11:28:34.468Z","Sentinel","usgovvirginia","CAD","2000","1/Day","2513.3175","2021-06-01T00:00:00.000Z","1897.4162","1.2567"
"2023-04-12T11:28:34.468Z","Sentinel","usgovvirginia","CAD","5000","1/Day","5943.6563","2021-06-01T00:00:00.000Z","4729.5745","1.1887"
"2023-05-02T06:07:40.927Z","Sentinel","usgovvirginia","CAD","Pay-as-you-go","1 GB","3.4061","2019-09-24T00:00:00.000Z","0","3.4061"
"2023-05-02T06:07:40.927Z","Sentinel","usgovvirginia","CAD","100","1/Day","170.3063","2019-09-24T00:00:00.000Z","50.0004","1.7031"
"2023-05-02T06:07:40.927Z","Sentinel","usgovvirginia","CAD","200","1/Day","306.5513","2019-09-24T00:00:00.000Z","179.9961","1.5328"
