"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-09-11T15:21:36.457Z","Sentinel","germanywestcentral","TWD","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","178.2455","2023-07-01T00:00:00.000Z","0","178.2455"
"2023-09-11T15:21:36.457Z","Sentinel","germanywestcentral","TWD","100 GB Commitment Tier Capacity Reservation","100","1/Day","12207.4277","2023-07-01T00:00:00.000Z","68.4866","122.0743"
"2023-09-11T15:21:36.457Z","Sentinel","germanywestcentral","TWD","200 GB Commitment Tier Capacity Reservation","200","1/Day","22598.6003","2023-07-01T00:00:00.000Z","185.1217","112.993"
"2023-09-11T15:21:36.457Z","Sentinel","germanywestcentral","TWD","300 GB Commitment Tier Capacity Reservation","300","1/Day","32989.7729","2023-07-01T00:00:00.000Z","291.963","109.9659"
"2023-09-11T15:21:36.457Z","Sentinel","germanywestcentral","TWD","400 GB Commitment Tier Capacity Reservation","400","1/Day","42775.4209","2023-07-01T00:00:00.000Z","388.988","106.9386"
"2023-09-11T15:21:36.457Z","Sentinel","germanywestcentral","TWD","500 GB Commitment Tier Capacity Reservation","500","1/Day","52161.531","2023-07-01T00:00:00.000Z","487.7708","104.3231"
"2023-09-11T15:21:36.457Z","Sentinel","germanywestcentral","TWD","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","102260.0055","2023-07-01T00:00:00.000Z","980.224","102.26"
"2023-09-11T15:21:36.457Z","Sentinel","germanywestcentral","TWD","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","197913.1282","2023-07-01T00:00:00.000Z","1935.3914","98.9566"
"2023-09-11T15:21:36.457Z","Sentinel","germanywestcentral","TWD","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","476208.9343","2023-07-01T00:00:00.000Z","4812.3009","95.2418"
"2023-10-02T06:09:57.719Z","Sentinel","germanywestcentral","TWD","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","180.2943","2023-07-01T00:00:00.000Z","0","180.2943"
"2023-10-02T06:09:57.719Z","Sentinel","germanywestcentral","TWD","100 GB Commitment Tier Capacity Reservation","100","1/Day","12347.7385","2023-07-01T00:00:00.000Z","68.4866","123.4774"
"2023-10-02T06:09:57.719Z","Sentinel","germanywestcentral","TWD","200 GB Commitment Tier Capacity Reservation","200","1/Day","22858.3462","2023-07-01T00:00:00.000Z","185.1217","114.2917"
"2023-10-02T06:09:57.719Z","Sentinel","germanywestcentral","TWD","300 GB Commitment Tier Capacity Reservation","300","1/Day","33368.9538","2023-07-01T00:00:00.000Z","291.9631","111.2298"
"2023-10-02T06:09:57.719Z","Sentinel","germanywestcentral","TWD","400 GB Commitment Tier Capacity Reservation","400","1/Day","43267.077","2023-07-01T00:00:00.000Z","388.9882","108.1677"
"2023-10-02T06:09:57.719Z","Sentinel","germanywestcentral","TWD","500 GB Commitment Tier Capacity Reservation","500","1/Day","52761.07","2023-07-01T00:00:00.000Z","487.771","105.5221"
"2023-10-02T06:09:57.719Z","Sentinel","germanywestcentral","TWD","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","103435.371","2023-07-01T00:00:00.000Z","980.2247","103.4354"
"2023-10-02T06:09:57.719Z","Sentinel","germanywestcentral","TWD","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","200187.9204","2023-07-01T00:00:00.000Z","1935.3908","100.094"
"2023-10-02T06:09:57.719Z","Sentinel","germanywestcentral","TWD","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","481682.4285","2023-07-01T00:00:00.000Z","4812.3007","96.3365"
"2023-11-01T06:09:55.088Z","Sentinel","germanywestcentral","TWD","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","181.3172","2023-07-01T00:00:00.000Z","0","181.3172"
"2023-11-01T06:09:55.088Z","Sentinel","germanywestcentral","TWD","100 GB Commitment Tier Capacity Reservation","100","1/Day","12417.7982","2023-07-01T00:00:00.000Z","68.4866","124.178"
"2023-11-01T06:09:55.088Z","Sentinel","germanywestcentral","TWD","200 GB Commitment Tier Capacity Reservation","200","1/Day","22988.0419","2023-07-01T00:00:00.000Z","185.1217","114.9402"
"2023-11-01T06:09:55.088Z","Sentinel","germanywestcentral","TWD","300 GB Commitment Tier Capacity Reservation","300","1/Day","33558.2856","2023-07-01T00:00:00.000Z","291.963","111.861"
"2023-11-01T06:09:55.088Z","Sentinel","germanywestcentral","TWD","400 GB Commitment Tier Capacity Reservation","400","1/Day","43512.5696","2023-07-01T00:00:00.000Z","388.9878","108.7814"
"2023-11-01T06:09:55.088Z","Sentinel","germanywestcentral","TWD","500 GB Commitment Tier Capacity Reservation","500","1/Day","53060.4306","2023-07-01T00:00:00.000Z","487.7712","106.1209"
"2023-11-01T06:09:55.088Z","Sentinel","germanywestcentral","TWD","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","104022.252","2023-07-01T00:00:00.000Z","980.224","104.0223"
"2023-11-01T06:09:55.088Z","Sentinel","germanywestcentral","TWD","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","201323.7648","2023-07-01T00:00:00.000Z","1935.3904","100.6619"
"2023-11-01T06:09:55.088Z","Sentinel","germanywestcentral","TWD","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","484415.442","2023-07-01T00:00:00.000Z","4812.3018","96.8831"
"2023-12-02T06:09:12.946Z","Sentinel","germanywestcentral","TWD","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","175.8949","2023-07-01T00:00:00.000Z","0","175.8949"
"2023-12-02T06:09:12.946Z","Sentinel","germanywestcentral","TWD","100 GB Commitment Tier Capacity Reservation","100","1/Day","12046.4434","2023-07-01T00:00:00.000Z","68.4866","120.4644"
"2023-12-02T06:09:12.946Z","Sentinel","germanywestcentral","TWD","200 GB Commitment Tier Capacity Reservation","200","1/Day","22300.5835","2023-07-01T00:00:00.000Z","185.1218","111.5029"
"2023-12-02T06:09:12.946Z","Sentinel","germanywestcentral","TWD","300 GB Commitment Tier Capacity Reservation","300","1/Day","32554.7236","2023-07-01T00:00:00.000Z","291.963","108.5157"
"2023-12-02T06:09:12.946Z","Sentinel","germanywestcentral","TWD","400 GB Commitment Tier Capacity Reservation","400","1/Day","42211.3243","2023-07-01T00:00:00.000Z","388.9882","105.5283"
"2023-12-02T06:09:12.946Z","Sentinel","germanywestcentral","TWD","500 GB Commitment Tier Capacity Reservation","500","1/Day","51473.6561","2023-07-01T00:00:00.000Z","487.7711","102.9473"
"2023-12-02T06:09:12.946Z","Sentinel","germanywestcentral","TWD","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","100911.462","2023-07-01T00:00:00.000Z","980.2245","100.9115"
"2023-12-02T06:09:12.946Z","Sentinel","germanywestcentral","TWD","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","195303.1688","2023-07-01T00:00:00.000Z","1935.3906","97.6516"
"2023-12-02T06:09:12.946Z","Sentinel","germanywestcentral","TWD","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","469928.977","2023-07-01T00:00:00.000Z","4812.3019","93.9858"
"2024-01-01T06:10:32.426Z","Sentinel","germanywestcentral","TWD","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","172.7086","2023-07-01T00:00:00.000Z","0","172.7086"
"2024-01-01T06:10:32.426Z","Sentinel","germanywestcentral","TWD","100 GB Commitment Tier Capacity Reservation","100","1/Day","11828.2246","2023-07-01T00:00:00.000Z","68.4866","118.2822"
"2024-01-01T06:10:32.426Z","Sentinel","germanywestcentral","TWD","200 GB Commitment Tier Capacity Reservation","200","1/Day","21896.6131","2023-07-01T00:00:00.000Z","185.1218","109.4831"
"2024-01-01T06:10:32.426Z","Sentinel","germanywestcentral","TWD","300 GB Commitment Tier Capacity Reservation","300","1/Day","31965.0016","2023-07-01T00:00:00.000Z","291.9629","106.55"
"2024-01-01T06:10:32.426Z","Sentinel","germanywestcentral","TWD","400 GB Commitment Tier Capacity Reservation","400","1/Day","41446.675","2023-07-01T00:00:00.000Z","388.988","103.6167"
"2024-01-01T06:10:32.426Z","Sentinel","germanywestcentral","TWD","500 GB Commitment Tier Capacity Reservation","500","1/Day","50541.2216","2023-07-01T00:00:00.000Z","487.771","101.0824"
"2024-01-01T06:10:32.426Z","Sentinel","germanywestcentral","TWD","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","99083.472","2023-07-01T00:00:00.000Z","980.2248","99.0835"
"2024-01-01T06:10:32.426Z","Sentinel","germanywestcentral","TWD","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","191765.2928","2023-07-01T00:00:00.000Z","1935.3908","95.8826"
"2024-01-01T06:10:32.426Z","Sentinel","germanywestcentral","TWD","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","461416.312","2023-07-01T00:00:00.000Z","4812.305","92.2833"
"2024-02-02T06:09:14.625Z","Sentinel","germanywestcentral","TWD","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","174.5561","2023-07-01T00:00:00.000Z","0","174.5561"
"2024-02-02T06:09:14.625Z","Sentinel","germanywestcentral","TWD","100 GB Commitment Tier Capacity Reservation","100","1/Day","11954.7533","2023-07-01T00:00:00.000Z","68.4866","119.5475"
"2024-02-02T06:09:14.625Z","Sentinel","germanywestcentral","TWD","200 GB Commitment Tier Capacity Reservation","200","1/Day","22130.8451","2023-07-01T00:00:00.000Z","185.1218","110.6542"
