"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T15:50:58.330Z","Sentinel","swedensouth","EUR","Pay-as-you-go Data Analysis","Pay-as-you-go","1 GB","3.2064","2021-08-01T02:00:00.000Z","0","3.2064"
"2023-03-29T15:50:58.330Z","Sentinel","swedensouth","EUR","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","160.3187","2021-08-01T02:00:00.000Z","49.9996","1.6032"
"2023-03-29T15:50:58.330Z","Sentinel","swedensouth","EUR","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","288.5737","2021-08-01T02:00:00.000Z","179.9986","1.4429"
"2023-03-29T15:50:58.330Z","Sentinel","swedensouth","EUR","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","416.8287","2021-08-01T02:00:00.000Z","288.8826","1.3894"
"2023-03-29T15:50:58.330Z","Sentinel","swedensouth","EUR","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","534.3926","2021-08-01T02:00:00.000Z","384.6211","1.336"
"2023-03-29T15:50:58.330Z","Sentinel","swedensouth","EUR","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","641.275","2021-08-01T02:00:00.000Z","479.9963","1.2826"
"2023-03-29T15:50:58.330Z","Sentinel","swedensouth","EUR","Classic 1000 GB Commitment Tier Capacity Reservation","1000","1/Day","1250.4862","2021-06-08T02:00:00.000Z","974.962","1.2505"
"2023-03-29T15:50:58.330Z","Sentinel","swedensouth","EUR","Classic 2000 GB Commitment Tier Capacity Reservation","2000","1/Day","2372.7174","2021-06-08T02:00:00.000Z","1897.415","1.1864"
"2023-03-29T15:50:58.330Z","Sentinel","swedensouth","EUR","Classic 5000 GB Commitment Tier Capacity Reservation","5000","1/Day","5611.1559","2021-06-08T02:00:00.000Z","4729.565","1.1222"
"2023-04-12T13:28:34.468Z","Sentinel","swedensouth","EUR","Pay-as-you-go Data Analysis","Pay-as-you-go","1 GB","3.1207","2021-08-01T02:00:00.000Z","0","3.1207"
"2023-04-12T13:28:34.468Z","Sentinel","swedensouth","EUR","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","156.0336","2021-08-01T02:00:00.000Z","49.9996","1.5603"
"2023-04-12T13:28:34.468Z","Sentinel","swedensouth","EUR","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","280.8605","2021-08-01T02:00:00.000Z","180.0042","1.4043"
"2023-04-12T13:28:34.468Z","Sentinel","swedensouth","EUR","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","405.6874","2021-08-01T02:00:00.000Z","288.8894","1.3523"
"2023-04-12T13:28:34.468Z","Sentinel","swedensouth","EUR","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","520.1089","2021-08-01T02:00:00.000Z","384.6106","1.3003"
"2023-04-12T13:28:34.468Z","Sentinel","swedensouth","EUR","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","624.1344","2021-08-01T02:00:00.000Z","479.9926","1.2483"
"2023-04-12T13:28:34.468Z","Sentinel","swedensouth","EUR","Classic 1000 GB Commitment Tier Capacity Reservation","1000","1/Day","1217.0621","2021-06-08T02:00:00.000Z","974.9756","1.2171"
"2023-04-12T13:28:34.468Z","Sentinel","swedensouth","EUR","Classic 2000 GB Commitment Tier Capacity Reservation","2000","1/Day","2309.2974","2021-06-08T02:00:00.000Z","1897.3769","1.1546"
"2023-04-12T13:28:34.468Z","Sentinel","swedensouth","EUR","Classic 5000 GB Commitment Tier Capacity Reservation","5000","1/Day","5461.1763","2021-06-08T02:00:00.000Z","4729.9292","1.0922"
"2023-05-02T08:07:40.927Z","Sentinel","swedensouth","EUR","Pay-as-you-go Data Analysis","Pay-as-you-go","1 GB","3.0606","2021-08-01T02:00:00.000Z","0","3.0606"
"2023-05-02T08:07:40.927Z","Sentinel","swedensouth","EUR","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","153.0312","2021-08-01T02:00:00.000Z","50.0004","1.5303"
