"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T15:50:58.330Z","Azure Monitor","westeurope","CNY","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","20.7633","2018-02-01T00:00:00.000Z","0","20.7633"
"2023-03-29T15:50:58.330Z","Azure Monitor","westeurope","CNY","100 GB Commitment Tier Capacity Reservation","100","1/Day","1755.7842","2019-11-01T00:00:00.000Z","84.5619","17.5578"
"2023-03-29T15:50:58.330Z","Azure Monitor","westeurope","CNY","200 GB Commitment Tier Capacity Reservation","200","1/Day","3296.5744","2019-11-01T00:00:00.000Z","187.7556","16.4829"
"2023-03-29T15:50:58.330Z","Azure Monitor","westeurope","CNY","300 GB Commitment Tier Capacity Reservation","300","1/Day","4837.3646","2019-11-01T00:00:00.000Z","293.4778","16.1245"
"2023-03-29T15:50:58.330Z","Azure Monitor","westeurope","CNY","400 GB Commitment Tier Capacity Reservation","400","1/Day","6306.4901","2019-11-01T00:00:00.000Z","391.1123","15.7662"
"2023-03-29T15:50:58.330Z","Azure Monitor","westeurope","CNY","500 GB Commitment Tier Capacity Reservation","500","1/Day","7748.7414","2019-11-01T00:00:00.000Z","491.4781","15.4975"
"2023-03-29T15:50:58.330Z","Azure Monitor","westeurope","CNY","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","15228.7403","2021-06-01T02:00:00.000Z","982.6579","15.2287"
"2023-03-29T15:50:58.330Z","Azure Monitor","westeurope","CNY","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","29740.8339","2021-06-01T02:00:00.000Z","1952.9463","14.8704"
"2023-03-29T15:50:58.330Z","Azure Monitor","westeurope","CNY","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","72112.5641","2021-06-01T02:00:00.000Z","4849.4031","14.4225"
"2023-04-12T13:28:34.468Z","Azure Monitor","westeurope","CNY","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","20.5947","2018-02-01T00:00:00.000Z","0","20.5947"
"2023-04-12T13:28:34.468Z","Azure Monitor","westeurope","CNY","100 GB Commitment Tier Capacity Reservation","100","1/Day","1741.524","2019-11-01T00:00:00.000Z","84.5618","17.4152"
"2023-04-12T13:28:34.468Z","Azure Monitor","westeurope","CNY","200 GB Commitment Tier Capacity Reservation","200","1/Day","3269.8002","2019-11-01T00:00:00.000Z","187.7555","16.349"
