"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T13:50:58.330Z","Azure Monitor","southafricawest","EUR","Pay-as-you-go","1 GB","3.491","2020-10-01T00:00:00.000Z","0","3.491"
"2023-03-29T13:50:58.330Z","Azure Monitor","southafricawest","EUR","100","1/Day","297.4909","2020-10-01T00:00:00.000Z","85.2165","2.9749"
"2023-03-29T13:50:58.330Z","Azure Monitor","southafricawest","EUR","200","1/Day","558.5543","2020-10-01T00:00:00.000Z","187.7557","2.7928"
"2023-03-29T13:50:58.330Z","Azure Monitor","southafricawest","EUR","300","1/Day","819.6177","2020-10-01T00:00:00.000Z","293.4753","2.7321"
"2023-03-29T13:50:58.330Z","Azure Monitor","southafricawest","EUR","400","1/Day","1068.5386","2020-10-01T00:00:00.000Z","391.1052","2.6713"
"2023-03-29T13:50:58.330Z","Azure Monitor","southafricawest","EUR","500","1/Day","1312.9061","2020-10-01T00:00:00.000Z","491.4858","2.6258"
"2023-03-29T13:50:58.330Z","Azure Monitor","southafricawest","EUR","1000","1/Day","2580.2779","2021-06-01T00:00:00.000Z","982.6635","2.5803"
"2023-03-29T13:50:58.330Z","Azure Monitor","southafricawest","EUR","2000","1/Day","5039.1311","2021-06-01T00:00:00.000Z","1952.9245","2.5196"
"2023-03-29T13:50:58.330Z","Azure Monitor","southafricawest","EUR","5000","1/Day","12218.375","2021-06-01T00:00:00.000Z","4849.3312","2.4437"
"2023-04-12T11:28:34.468Z","Azure Monitor","southafricawest","EUR","Pay-as-you-go","1 GB","3.3977","2020-10-01T00:00:00.000Z","0","3.3977"
"2023-04-12T11:28:34.468Z","Azure Monitor","southafricawest","EUR","100","1/Day","289.5393","2020-10-01T00:00:00.000Z","85.2163","2.8954"
"2023-04-12T11:28:34.468Z","Azure Monitor","southafricawest","EUR","200","1/Day","543.6248","2020-10-01T00:00:00.000Z","187.7546","2.7181"
"2023-04-12T11:28:34.468Z","Azure Monitor","southafricawest","EUR","300","1/Day","797.7103","2020-10-01T00:00:00.000Z","293.4809","2.6590"
"2023-04-12T11:28:34.468Z","Azure Monitor","southafricawest","EUR","400","1/Day","1039.9778","2020-10-01T00:00:00.000Z","391.1161","2.5999"
"2023-04-12T11:28:34.468Z","Azure Monitor","southafricawest","EUR","500","1/Day","1277.8137","2020-10-01T00:00:00.000Z","491.4857","2.5556"
"2023-04-12T11:28:34.468Z","Azure Monitor","southafricawest","EUR","1000","1/Day","2511.3101","2021-06-01T00:00:00.000Z","982.6695","2.5113"
"2023-04-12T11:28:34.468Z","Azure Monitor","southafricawest","EUR","2000","1/Day","4904.441","2021-06-01T00:00:00.000Z","1952.9491","2.4522"
"2023-04-12T11:28:34.468Z","Azure Monitor","southafricawest","EUR","5000","1/Day","11891.7921","2021-06-01T00:00:00.000Z","4849.4381","2.3784"
