"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T13:50:58.330Z","Azure Monitor","francecentral","RUB","Pay-as-you-go","1 GB","210.312","2018-02-01T00:00:00.000Z","0","210.312"
"2023-03-29T13:50:58.330Z","Azure Monitor","francecentral","RUB","100","1/Day","18669","2019-11-01T00:00:00.000Z","88.7681","186.69"
"2023-03-29T13:50:58.330Z","Azure Monitor","francecentral","RUB","200","1/Day","35052","2019-11-01T00:00:00.000Z","187.7551","175.26"
"2023-03-29T13:50:58.330Z","Azure Monitor","francecentral","RUB","300","1/Day","51435","2019-11-01T00:00:00.000Z","293.4783","171.45"
"2023-03-29T13:50:58.330Z","Azure Monitor","francecentral","RUB","400","1/Day","67056","2019-11-01T00:00:00.000Z","391.1111","167.64"
"2023-03-29T13:50:58.330Z","Azure Monitor","francecentral","RUB","500","1/Day","82391.25","2019-11-01T00:00:00.000Z","491.4773","164.7825"
"2023-03-29T13:50:58.330Z","Azure Monitor","francecentral","RUB","1000","1/Day","161925","2021-06-01T00:00:00.000Z","982.659","161.925"
"2023-03-29T13:50:58.330Z","Azure Monitor","francecentral","RUB","2000","1/Day","316230","2021-06-01T00:00:00.000Z","1952.9412","158.115"
"2023-03-29T13:50:58.330Z","Azure Monitor","francecentral","RUB","5000","1/Day","766762.5","2021-06-01T00:00:00.000Z","4849.3976","153.3525"
"2023-04-12T11:28:34.468Z","Azure Monitor","francecentral","RUB","Pay-as-you-go","1 GB","213.21","2018-02-01T00:00:00.000Z","0","213.21"
"2023-04-12T11:28:34.468Z","Azure Monitor","francecentral","RUB","100","1/Day","18926.25","2019-11-01T00:00:00.000Z","88.7681","189.2625"
"2023-04-12T11:28:34.468Z","Azure Monitor","francecentral","RUB","200","1/Day","35535","2019-11-01T00:00:00.000Z","187.7551","177.675"
"2023-04-12T11:28:34.468Z","Azure Monitor","francecentral","RUB","300","1/Day","52143.75","2019-11-01T00:00:00.000Z","293.4783","173.8125"
"2023-04-12T11:28:34.468Z","Azure Monitor","francecentral","RUB","400","1/Day","67980","2019-11-01T00:00:00.000Z","391.1111","169.95"
"2023-04-12T11:28:34.468Z","Azure Monitor","francecentral","RUB","500","1/Day","83526.5625","2019-11-01T00:00:00.000Z","491.4773","167.0531"
"2023-04-12T11:28:34.468Z","Azure Monitor","francecentral","RUB","1000","1/Day","164156.25","2021-06-01T00:00:00.000Z","982.6591","164.1562"
"2023-04-12T11:28:34.468Z","Azure Monitor","francecentral","RUB","2000","1/Day","320587.5","2021-06-01T00:00:00.000Z","1952.9418","160.2938"
"2023-04-12T11:28:34.468Z","Azure Monitor","francecentral","RUB","5000","1/Day","777328.125","2021-06-01T00:00:00.000Z","4849.3961","155.4656"
"2023-05-02T06:07:40.927Z","Azure Monitor","francecentral","RUB","Pay-as-you-go","1 GB","228.39","2018-02-01T00:00:00.000Z","0","228.39"
"2023-05-02T06:07:40.927Z","Azure Monitor","francecentral","RUB","100","1/Day","20273.75","2019-11-01T00:00:00.000Z","88.7681","202.7375"
"2023-05-02T06:07:40.927Z","Azure Monitor","francecentral","RUB","200","1/Day","38065","2019-11-01T00:00:00.000Z","187.7551","190.325"
"2023-05-02T06:07:40.927Z","Azure Monitor","francecentral","RUB","300","1/Day","55856.25","2019-11-01T00:00:00.000Z","293.4783","186.1875"
"2023-05-02T06:07:40.927Z","Azure Monitor","francecentral","RUB","400","1/Day","72820","2019-11-01T00:00:00.000Z","391.1111","182.05"
"2023-05-02T06:07:40.927Z","Azure Monitor","francecentral","RUB","500","1/Day","89473.4375","2019-11-01T00:00:00.000Z","491.4773","178.9469"
"2023-05-02T06:07:40.927Z","Azure Monitor","francecentral","RUB","1000","1/Day","175843.75","2021-06-01T00:00:00.000Z","982.6588","175.8438"
"2023-05-02T06:07:40.927Z","Azure Monitor","francecentral","RUB","2000","1/Day","343412.5","2021-06-01T00:00:00.000Z","1952.9406","171.7062"
"2023-05-02T06:07:40.927Z","Azure Monitor","francecentral","RUB","5000","1/Day","832671.875","2021-06-01T00:00:00.000Z","4849.3990","166.5344"
