"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T13:50:58.330Z","Sentinel","ukwest","INR","Pay-as-you-go","1 GB","216.7985","2019-09-24T00:00:00.000Z","0","216.7985"
"2023-03-29T13:50:58.330Z","Sentinel","ukwest","INR","100","1/Day","10839.9225","2019-09-24T00:00:00.000Z","50","108.3992"
"2023-03-29T13:50:58.330Z","Sentinel","ukwest","INR","200","1/Day","19511.8605","2019-09-24T00:00:00.000Z","180","97.5593"
"2023-03-29T13:50:58.330Z","Sentinel","ukwest","INR","300","1/Day","28183.7985","2019-09-24T00:00:00.000Z","288.8889","93.946"
"2023-03-29T13:50:58.330Z","Sentinel","ukwest","INR","400","1/Day","36132.5234","2019-09-24T00:00:00.000Z","384.6095","90.3313"
"2023-03-29T13:50:58.330Z","Sentinel","ukwest","INR","500","1/Day","43359.69","2019-09-24T00:00:00.000Z","480.0074","86.7194"
"2023-03-29T13:50:58.330Z","Sentinel","ukwest","INR","1000","1/Day","84551.3955","2021-06-01T00:00:00.000Z","974.9998","84.5514"
"2023-03-29T13:50:58.330Z","Sentinel","ukwest","INR","2000","1/Day","160430.853","2021-06-01T00:00:00.000Z","1897.4358","80.2154"
"2023-03-29T13:50:58.330Z","Sentinel","ukwest","INR","5000","1/Day","379397.2875","2021-06-01T00:00:00.000Z","4729.7313","75.8795"
"2023-04-12T11:28:34.468Z","Sentinel","ukwest","INR","Pay-as-you-go","1 GB","215.7374","2019-09-24T00:00:00.000Z","0","215.7374"
"2023-04-12T11:28:34.468Z","Sentinel","ukwest","INR","100","1/Day","10786.8675","2019-09-24T00:00:00.000Z","50","107.8687"
"2023-04-12T11:28:34.468Z","Sentinel","ukwest","INR","200","1/Day","19416.3615","2019-09-24T00:00:00.000Z","180","97.0818"
"2023-04-12T11:28:34.468Z","Sentinel","ukwest","INR","300","1/Day","28045.8555","2019-09-24T00:00:00.000Z","288.8889","93.4862"
"2023-04-12T11:28:34.468Z","Sentinel","ukwest","INR","400","1/Day","35955.6761","2019-09-24T00:00:00.000Z","384.6095","89.8892"
"2023-04-12T11:28:34.468Z","Sentinel","ukwest","INR","500","1/Day","43147.47","2019-09-24T00:00:00.000Z","480.0073","86.2949"
"2023-04-12T11:28:34.468Z","Sentinel","ukwest","INR","1000","1/Day","84137.5665","2021-06-01T00:00:00.000Z","975.0005","84.1376"
"2023-04-12T11:28:34.468Z","Sentinel","ukwest","INR","2000","1/Day","159645.639","2021-06-01T00:00:00.000Z","1897.4351","79.8228"
"2023-04-12T11:28:34.468Z","Sentinel","ukwest","INR","5000","1/Day","377540.3625","2021-06-01T00:00:00.000Z","4729.7309","75.5081"
"2023-05-02T06:07:40.927Z","Sentinel","ukwest","INR","Pay-as-you-go","1 GB","214.2407","2019-09-24T00:00:00.000Z","0","214.2407"
"2023-05-02T06:07:40.927Z","Sentinel","ukwest","INR","100","1/Day","10712.0338","2019-09-24T00:00:00.000Z","50","107.1203"
"2023-05-02T06:07:40.927Z","Sentinel","ukwest","INR","200","1/Day","19281.6608","2019-09-24T00:00:00.000Z","180.0001","96.4083"
"2023-05-02T06:07:40.927Z","Sentinel","ukwest","INR","300","1/Day","27851.2878","2019-09-24T00:00:00.000Z","288.8889","92.8376"
"2023-05-02T06:07:40.927Z","Sentinel","ukwest","INR","400","1/Day","35706.234","2019-09-24T00:00:00.000Z","384.6096","89.2656"
"2023-05-02T06:07:40.927Z","Sentinel","ukwest","INR","500","1/Day","42848.135","2019-09-24T00:00:00.000Z","480.0072","85.6963"
"2023-05-02T06:07:40.927Z","Sentinel","ukwest","INR","1000","1/Day","83553.8633","2021-06-01T00:00:00.000Z","974.9997","83.5539"
"2023-05-02T06:07:40.927Z","Sentinel","ukwest","INR","2000","1/Day","158538.0995","2021-06-01T00:00:00.000Z","1897.4351","79.269"
"2023-05-02T06:07:40.927Z","Sentinel","ukwest","INR","5000","1/Day","374921.1813","2021-06-01T00:00:00.000Z","4729.7327","74.9842"
"2023-07-02T06:08:00.652Z","Sentinel","ukwest","INR","Pay-as-you-go","1 GB","451.3094","2023-07-01T00:00:00.000Z","0","451.3094"
"2023-07-02T06:08:00.652Z","Sentinel","ukwest","INR","100","1/Day","31496.471","2023-07-01T00:00:00.000Z","69.7891","314.9647"
"2023-07-02T06:08:00.652Z","Sentinel","ukwest","INR","200","1/Day","58302.6067","2023-07-01T00:00:00.000Z","185.1084","291.5130"
"2023-07-02T06:08:00.652Z","Sentinel","ukwest","INR","300","1/Day","85108.7425","2023-07-01T00:00:00.000Z","291.9552","283.6958"
"2023-07-02T06:08:00.652Z","Sentinel","ukwest","INR","400","1/Day","110350.8861","2023-07-01T00:00:00.000Z","388.9761","275.8772"
"2023-07-02T06:08:00.652Z","Sentinel","ukwest","INR","500","1/Day","134559.9416","2023-07-01T00:00:00.000Z","487.7530","269.1199"
"2023-07-02T06:08:00.652Z","Sentinel","ukwest","INR","1000","1/Day","263794.4325","2023-07-01T00:00:00.000Z","980.2115","263.7944"
"2023-07-02T06:08:00.652Z","Sentinel","ukwest","INR","2000","1/Day","510521.165","2023-07-01T00:00:00.000Z","1935.2995","255.2606"
"2023-07-02T06:08:00.652Z","Sentinel","ukwest","INR","5000","1/Day","1228341.0344","2023-07-01T00:00:00.000Z","4812.1059","245.6682"
