"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T13:50:58.330Z","Azure Monitor","norwayeast","AUD","Pay-as-you-go","1 GB","4.8929","2020-10-01T00:00:00.000Z","0","4.8929"
"2023-03-29T13:50:58.330Z","Azure Monitor","norwayeast","AUD","100","1/Day","416.9592","2020-10-01T00:00:00.000Z","85.2172","4.1696"
"2023-03-29T13:50:58.330Z","Azure Monitor","norwayeast","AUD","200","1/Day","782.8622","2020-10-01T00:00:00.000Z","187.7547","3.9143"
"2023-03-29T13:50:58.330Z","Azure Monitor","norwayeast","AUD","300","1/Day","1148.7652","2020-10-01T00:00:00.000Z","293.4791","3.8292"
"2023-03-29T13:50:58.330Z","Azure Monitor","norwayeast","AUD","400","1/Day","1497.6495","2020-10-01T00:00:00.000Z","391.1129","3.7441"
"2023-03-29T13:50:58.330Z","Azure Monitor","norwayeast","AUD","500","1/Day","1840.1517","2020-10-01T00:00:00.000Z","491.4804","3.6803"
"2023-03-29T13:50:58.330Z","Azure Monitor","norwayeast","AUD","1000","1/Day","3616.4832","2021-06-01T00:00:00.000Z","982.6599","3.6165"
"2023-03-29T13:50:58.330Z","Azure Monitor","norwayeast","AUD","2000","1/Day","7062.7789","2021-06-01T00:00:00.000Z","1952.9321","3.5314"
"2023-03-29T13:50:58.330Z","Azure Monitor","norwayeast","AUD","5000","1/Day","17125.1116","2021-06-01T00:00:00.000Z","4849.3831","3.425"
"2023-04-12T11:28:34.468Z","Azure Monitor","norwayeast","AUD","Pay-as-you-go","1 GB","4.9211","2020-10-01T00:00:00.000Z","0","4.9211"
"2023-04-12T11:28:34.468Z","Azure Monitor","norwayeast","AUD","100","1/Day","419.3611","2020-10-01T00:00:00.000Z","85.2169","4.1936"
"2023-04-12T11:28:34.468Z","Azure Monitor","norwayeast","AUD","200","1/Day","787.3719","2020-10-01T00:00:00.000Z","187.7556","3.9369"
"2023-04-12T11:28:34.468Z","Azure Monitor","norwayeast","AUD","300","1/Day","1155.3827","2020-10-01T00:00:00.000Z","293.4752","3.8513"
"2023-04-12T11:28:34.468Z","Azure Monitor","norwayeast","AUD","400","1/Day","1506.2767","2020-10-01T00:00:00.000Z","391.1086","3.7657"
"2023-04-12T11:28:34.468Z","Azure Monitor","norwayeast","AUD","500","1/Day","1850.7519","2020-10-01T00:00:00.000Z","491.4762","3.7015"
"2023-04-12T11:28:34.468Z","Azure Monitor","norwayeast","AUD","1000","1/Day","3637.3158","2021-06-01T00:00:00.000Z","982.6599","3.6373"
"2023-04-12T11:28:34.468Z","Azure Monitor","norwayeast","AUD","2000","1/Day","7103.4638","2021-06-01T00:00:00.000Z","1952.9497","3.5517"
"2023-04-12T11:28:34.468Z","Azure Monitor","norwayeast","AUD","5000","1/Day","17223.76","2021-06-01T00:00:00.000Z","4849.4411","3.4448"
