"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T13:50:58.330Z","Azure Monitor","norwayeast","GBP","Pay-as-you-go","1 GB","2.7546","2020-10-01T00:00:00.000Z","0","2.7546"
"2023-03-29T13:50:58.330Z","Azure Monitor","norwayeast","GBP","100","1/Day","234.7404","2020-10-01T00:00:00.000Z","85.2176","2.3474"
"2023-03-29T13:50:58.330Z","Azure Monitor","norwayeast","GBP","200","1/Day","440.737","2020-10-01T00:00:00.000Z","187.7554","2.2037"
"2023-03-29T13:50:58.330Z","Azure Monitor","norwayeast","GBP","300","1/Day","646.7337","2020-10-01T00:00:00.000Z","293.4763","2.1558"
"2023-03-29T13:50:58.330Z","Azure Monitor","norwayeast","GBP","400","1/Day","843.1491","2020-10-01T00:00:00.000Z","391.1073","2.1079"
"2023-03-29T13:50:58.330Z","Azure Monitor","norwayeast","GBP","500","1/Day","1035.9715","2020-10-01T00:00:00.000Z","491.4709","2.0719"
"2023-03-29T13:50:58.330Z","Azure Monitor","norwayeast","GBP","1000","1/Day","2036.0134","2021-06-01T00:00:00.000Z","982.6794","2.036"
"2023-03-29T13:50:58.330Z","Azure Monitor","norwayeast","GBP","2000","1/Day","3976.2144","2021-06-01T00:00:00.000Z","1952.954","1.9881"
"2023-03-29T13:50:58.330Z","Azure Monitor","norwayeast","GBP","5000","1/Day","9641.1223","2021-06-01T00:00:00.000Z","4849.4152","1.9282"
"2023-04-12T11:28:34.468Z","Azure Monitor","norwayeast","GBP","Pay-as-you-go","1 GB","2.6717","2020-10-01T00:00:00.000Z","0","2.6717"
"2023-04-12T11:28:34.468Z","Azure Monitor","norwayeast","GBP","100","1/Day","227.6756","2020-10-01T00:00:00.000Z","85.2175","2.2768"
"2023-04-12T11:28:34.468Z","Azure Monitor","norwayeast","GBP","200","1/Day","427.4725","2020-10-01T00:00:00.000Z","187.7514","2.1374"
"2023-04-12T11:28:34.468Z","Azure Monitor","norwayeast","GBP","300","1/Day","627.2694","2020-10-01T00:00:00.000Z","293.4731","2.0909"
"2023-04-12T11:28:34.468Z","Azure Monitor","norwayeast","GBP","400","1/Day","817.7734","2020-10-01T00:00:00.000Z","391.1107","2.0444"
"2023-04-12T11:28:34.468Z","Azure Monitor","norwayeast","GBP","500","1/Day","1004.7927","2020-10-01T00:00:00.000Z","491.4854","2.0096"
"2023-04-12T11:28:34.468Z","Azure Monitor","norwayeast","GBP","1000","1/Day","1974.737","2021-06-01T00:00:00.000Z","982.6518","1.9747"
"2023-04-12T11:28:34.468Z","Azure Monitor","norwayeast","GBP","2000","1/Day","3856.5452","2021-06-01T00:00:00.000Z","1952.9778","1.9283"
"2023-04-12T11:28:34.468Z","Azure Monitor","norwayeast","GBP","5000","1/Day","9350.9606","2021-06-01T00:00:00.000Z","4849.3287","1.8702"
