"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T13:50:58.330Z","Sentinel","westus2","NZD","Pay-as-you-go","1 GB","3.2481","2019-09-24T00:00:00.000Z","0","3.2481"
"2023-03-29T13:50:58.330Z","Sentinel","westus2","NZD","100","1/Day","162.4036","2019-09-24T00:00:00.000Z","49.9996","1.624"
"2023-03-29T13:50:58.330Z","Sentinel","westus2","NZD","200","1/Day","292.3264","2019-09-24T00:00:00.000Z","180.0039","1.4616"
"2023-03-29T13:50:58.330Z","Sentinel","westus2","NZD","300","1/Day","422.2493","2019-09-24T00:00:00.000Z","288.8953","1.4075"
"2023-03-29T13:50:58.330Z","Sentinel","westus2","NZD","400","1/Day","541.3398","2019-09-24T00:00:00.000Z","384.6109","1.3533"
"2023-03-29T13:50:58.330Z","Sentinel","westus2","NZD","500","1/Day","649.6143","2019-09-24T00:00:00.000Z","480.0224","1.2992"
"2023-03-29T13:50:58.330Z","Sentinel","westus2","NZD","1000","1/Day","1266.7479","2021-06-01T00:00:00.000Z","975.0215","1.2667"
"2023-03-29T13:50:58.330Z","Sentinel","westus2","NZD","2000","1/Day","2403.5729","2021-06-01T00:00:00.000Z","1897.5076","1.2018"
"2023-03-29T13:50:58.330Z","Sentinel","westus2","NZD","5000","1/Day","5684.1251","2021-06-01T00:00:00.000Z","4729.6764","1.1368"
"2023-04-12T11:28:34.468Z","Sentinel","westus2","NZD","Pay-as-you-go","1 GB","3.2131","2019-09-24T00:00:00.000Z","0","3.2131"
"2023-04-12T11:28:34.468Z","Sentinel","westus2","NZD","100","1/Day","160.6555","2019-09-24T00:00:00.000Z","50.0002","1.6066"
"2023-04-12T11:28:34.468Z","Sentinel","westus2","NZD","200","1/Day","289.1799","2019-09-24T00:00:00.000Z","179.995","1.4459"
"2023-04-12T11:28:34.468Z","Sentinel","westus2","NZD","300","1/Day","417.7042","2019-09-24T00:00:00.000Z","288.8887","1.3923"
"2023-04-12T11:28:34.468Z","Sentinel","westus2","NZD","400","1/Day","535.5129","2019-09-24T00:00:00.000Z","384.6246","1.3388"
"2023-04-12T11:28:34.468Z","Sentinel","westus2","NZD","500","1/Day","642.6219","2019-09-24T00:00:00.000Z","479.9984","1.2852"
"2023-04-12T11:28:34.468Z","Sentinel","westus2","NZD","1000","1/Day","1253.1127","2021-06-01T00:00:00.000Z","975.0332","1.2531"
"2023-04-12T11:28:34.468Z","Sentinel","westus2","NZD","2000","1/Day","2377.701","2021-06-01T00:00:00.000Z","1897.4551","1.1889"
"2023-04-12T11:28:34.468Z","Sentinel","westus2","NZD","5000","1/Day","5622.9416","2021-06-01T00:00:00.000Z","4729.5328","1.1246"
"2023-05-02T06:07:40.927Z","Sentinel","westus2","NZD","Pay-as-you-go","1 GB","3.264","2019-09-24T00:00:00.000Z","0","3.264"
"2023-05-02T06:07:40.927Z","Sentinel","westus2","NZD","100","1/Day","163.1987","2019-09-24T00:00:00.000Z","49.9996","1.6320"
"2023-05-02T06:07:40.927Z","Sentinel","westus2","NZD","200","1/Day","293.7576","2019-09-24T00:00:00.000Z","179.9985","1.4688"
"2023-05-02T06:07:40.927Z","Sentinel","westus2","NZD","300","1/Day","424.3166","2019-09-24T00:00:00.000Z","288.8866","1.4144"
"2023-05-02T06:07:40.927Z","Sentinel","westus2","NZD","400","1/Day","543.9902","2019-09-24T00:00:00.000Z","384.6085","1.3600"
"2023-05-02T06:07:40.927Z","Sentinel","westus2","NZD","500","1/Day","652.7948","2019-09-24T00:00:00.000Z","479.9962","1.3056"
"2023-05-02T06:07:40.927Z","Sentinel","westus2","NZD","1000","1/Day","1272.9498","2021-06-01T00:00:00.000Z","974.9922","1.2729"
"2023-05-02T06:07:40.927Z","Sentinel","westus2","NZD","2000","1/Day","2415.3407","2021-06-01T00:00:00.000Z","1897.5102","1.2077"
"2023-05-02T06:07:40.927Z","Sentinel","westus2","NZD","5000","1/Day","5711.9543","2021-06-01T00:00:00.000Z","4729.6136","1.1424"
