"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T13:50:58.330Z","Azure Monitor","switzerlandnorth","BRL","Pay-as-you-go","1 GB","17.0849","2021-10-01T00:00:00.000Z","0","17.0849"
"2023-03-29T13:50:58.330Z","Azure Monitor","switzerlandnorth","BRL","100","1/Day","1313.39","2019-11-01T00:00:00.000Z","76.8743","13.1339"
"2023-03-29T13:50:58.330Z","Azure Monitor","switzerlandnorth","BRL","200","1/Day","2465.9568","2019-11-01T00:00:00.000Z","187.7551","12.3298"
"2023-03-29T13:50:58.330Z","Azure Monitor","switzerlandnorth","BRL","300","1/Day","3618.5235","2019-11-01T00:00:00.000Z","293.4779","12.0617"
"2023-03-29T13:50:58.330Z","Azure Monitor","switzerlandnorth","BRL","400","1/Day","4717.4825","2019-11-01T00:00:00.000Z","391.1126","11.7937"
"2023-03-29T13:50:58.330Z","Azure Monitor","switzerlandnorth","BRL","500","1/Day","5796.3386","2019-11-01T00:00:00.000Z","491.4775","11.5927"
"2023-03-29T13:50:58.330Z","Azure Monitor","switzerlandnorth","BRL","1000","1/Day","11391.6482","2021-06-01T00:00:00.000Z","982.657","11.3916"
"2023-03-29T13:50:58.330Z","Azure Monitor","switzerlandnorth","BRL","2000","1/Day","22247.2187","2021-06-01T00:00:00.000Z","1952.9494","11.1236"
"2023-03-29T13:50:58.330Z","Azure Monitor","switzerlandnorth","BRL","5000","1/Day","53942.8045","2021-06-01T00:00:00.000Z","4849.4017","10.7886"
"2023-04-12T11:28:34.468Z","Azure Monitor","switzerlandnorth","BRL","Pay-as-you-go","1 GB","16.9296","2021-10-01T00:00:00.000Z","0","16.9296"
"2023-04-12T11:28:34.468Z","Azure Monitor","switzerlandnorth","BRL","100","1/Day","1301.456","2019-11-01T00:00:00.000Z","76.8746","13.0146"
"2023-04-12T11:28:34.468Z","Azure Monitor","switzerlandnorth","BRL","200","1/Day","2443.55","2019-11-01T00:00:00.000Z","187.7545","12.2178"
"2023-04-12T11:28:34.468Z","Azure Monitor","switzerlandnorth","BRL","300","1/Day","3585.644","2019-11-01T00:00:00.000Z","293.4771","11.9521"
"2023-04-12T11:28:34.468Z","Azure Monitor","switzerlandnorth","BRL","400","1/Day","4674.6174","2019-11-01T00:00:00.000Z","391.1126","11.6865"
"2023-04-12T11:28:34.468Z","Azure Monitor","switzerlandnorth","BRL","500","1/Day","5743.6705","2019-11-01T00:00:00.000Z","491.4791","11.4873"
"2023-04-12T11:28:34.468Z","Azure Monitor","switzerlandnorth","BRL","1000","1/Day","11288.1385","2021-06-01T00:00:00.000Z","982.6625","11.2881"
"2023-04-12T11:28:34.468Z","Azure Monitor","switzerlandnorth","BRL","2000","1/Day","22045.0706","2021-06-01T00:00:00.000Z","1952.9478","11.0225"
"2023-04-12T11:28:34.468Z","Azure Monitor","switzerlandnorth","BRL","5000","1/Day","53452.6561","2021-06-01T00:00:00.000Z","4849.4131","10.6905"
"2023-05-02T06:07:40.927Z","Azure Monitor","switzerlandnorth","BRL","Pay-as-you-go","1 GB","16.6124","2021-10-01T00:00:00.000Z","0","16.6124"
"2023-05-02T06:07:40.927Z","Azure Monitor","switzerlandnorth","BRL","100","1/Day","1277.0696","2019-11-01T00:00:00.000Z","76.8745","12.7707"
"2023-05-02T06:07:40.927Z","Azure Monitor","switzerlandnorth","BRL","200","1/Day","2397.7632","2019-11-01T00:00:00.000Z","187.755","11.9888"
"2023-05-02T06:07:40.927Z","Azure Monitor","switzerlandnorth","BRL","300","1/Day","3518.4569","2019-11-01T00:00:00.000Z","293.4787","11.7282"
"2023-05-02T06:07:40.927Z","Azure Monitor","switzerlandnorth","BRL","400","1/Day","4587.0253","2019-11-01T00:00:00.000Z","391.1108","11.4676"
"2023-05-02T06:07:40.927Z","Azure Monitor","switzerlandnorth","BRL","500","1/Day","5636.0468","2019-11-01T00:00:00.000Z","491.4757","11.2721"
"2023-05-02T06:07:40.927Z","Azure Monitor","switzerlandnorth","BRL","1000","1/Day","11076.6237","2021-06-01T00:00:00.000Z","982.6584","11.0766"
"2023-05-02T06:07:40.927Z","Azure Monitor","switzerlandnorth","BRL","2000","1/Day","21631.9945","2021-06-01T00:00:00.000Z","1952.9454","10.816"
"2023-05-02T06:07:40.927Z","Azure Monitor","switzerlandnorth","BRL","5000","1/Day","52451.071","2021-06-01T00:00:00.000Z","4849.3964","10.4902"
"2023-06-02T06:07:42.568Z","Azure Monitor","switzerlandnorth","BRL","Pay-as-you-go","1 GB","16.4754","2021-10-01T00:00:00.000Z","0","16.4754"
"2023-06-02T06:07:42.568Z","Azure Monitor","switzerlandnorth","BRL","100","1/Day","1266.5388","2019-11-01T00:00:00.000Z","76.8745","12.6654"
"2023-06-02T06:07:42.568Z","Azure Monitor","switzerlandnorth","BRL","200","1/Day","2377.9912","2019-11-01T00:00:00.000Z","187.7549","11.89"
"2023-06-02T06:07:42.568Z","Azure Monitor","switzerlandnorth","BRL","300","1/Day","3489.4436","2019-11-01T00:00:00.000Z","293.4772","11.6315"
"2023-06-02T06:07:42.568Z","Azure Monitor","switzerlandnorth","BRL","400","1/Day","4549.2005","2019-11-01T00:00:00.000Z","391.1104","11.373"
"2023-06-02T06:07:42.568Z","Azure Monitor","switzerlandnorth","BRL","500","1/Day","5589.5716","2019-11-01T00:00:00.000Z","491.4773","11.1791"
"2023-06-02T06:07:42.568Z","Azure Monitor","switzerlandnorth","BRL","1000","1/Day","10985.2853","2021-06-01T00:00:00.000Z","982.6628","10.9853"
"2023-06-02T06:07:42.568Z","Azure Monitor","switzerlandnorth","BRL","2000","1/Day","21453.6159","2021-06-01T00:00:00.000Z","1952.9386","10.7268"
"2023-06-02T06:07:42.568Z","Azure Monitor","switzerlandnorth","BRL","5000","1/Day","52018.5566","2021-06-01T00:00:00.000Z","4849.4012","10.4037"
"2023-07-02T06:08:00.652Z","Azure Monitor","switzerlandnorth","BRL","Pay-as-you-go","1 GB","15.9725","2021-10-01T00:00:00.000Z","0","15.9725"
"2023-07-02T06:08:00.652Z","Azure Monitor","switzerlandnorth","BRL","100","1/Day","1227.8795","2019-11-01T00:00:00.000Z","76.8746","12.2788"
"2023-07-02T06:08:00.652Z","Azure Monitor","switzerlandnorth","BRL","200","1/Day","2305.4065","2019-11-01T00:00:00.000Z","187.7550","11.5270"
"2023-07-02T06:08:00.652Z","Azure Monitor","switzerlandnorth","BRL","300","1/Day","3382.9334","2019-11-01T00:00:00.000Z","293.4791","11.2764"
"2023-07-02T06:08:00.652Z","Azure Monitor","switzerlandnorth","BRL","400","1/Day","4410.3428","2019-11-01T00:00:00.000Z","391.1127","11.0259"
"2023-07-02T06:08:00.652Z","Azure Monitor","switzerlandnorth","BRL","500","1/Day","5418.9581","2019-11-01T00:00:00.000Z","491.4754","10.8379"
"2023-07-02T06:08:00.652Z","Azure Monitor","switzerlandnorth","BRL","1000","1/Day","10649.9756","2021-06-01T00:00:00.000Z","982.6604","10.6500"
"2023-07-02T06:08:00.652Z","Azure Monitor","switzerlandnorth","BRL","2000","1/Day","20798.7758","2021-06-01T00:00:00.000Z","1952.9367","10.3994"
"2023-07-02T06:08:00.652Z","Azure Monitor","switzerlandnorth","BRL","5000","1/Day","50430.7666","2021-06-01T00:00:00.000Z","4849.3919","10.0862"
