"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-09-11T15:21:36.457Z","Sentinel","westeurope","TWD","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","178.2455","2023-07-01T00:00:00.000Z","0","178.2455"
"2023-09-11T15:21:36.457Z","Sentinel","westeurope","TWD","100 GB Commitment Tier Capacity Reservation","100","1/Day","12207.4277","2023-07-01T00:00:00.000Z","68.4866","122.0743"
"2023-09-11T15:21:36.457Z","Sentinel","westeurope","TWD","200 GB Commitment Tier Capacity Reservation","200","1/Day","22598.6003","2023-07-01T00:00:00.000Z","185.1217","112.993"
"2023-09-11T15:21:36.457Z","Sentinel","westeurope","TWD","300 GB Commitment Tier Capacity Reservation","300","1/Day","32989.7729","2023-07-01T00:00:00.000Z","291.963","109.9659"
"2023-09-11T15:21:36.457Z","Sentinel","westeurope","TWD","400 GB Commitment Tier Capacity Reservation","400","1/Day","42775.4209","2023-07-01T00:00:00.000Z","388.988","106.9386"
"2023-09-11T15:21:36.457Z","Sentinel","westeurope","TWD","500 GB Commitment Tier Capacity Reservation","500","1/Day","52161.531","2023-07-01T00:00:00.000Z","487.7708","104.3231"
"2023-09-11T15:21:36.457Z","Sentinel","westeurope","TWD","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","102260.0055","2023-07-01T00:00:00.000Z","980.224","102.26"
"2023-09-11T15:21:36.457Z","Sentinel","westeurope","TWD","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","197913.1282","2023-07-01T00:00:00.000Z","1935.3914","98.9566"
"2023-09-11T15:21:36.457Z","Sentinel","westeurope","TWD","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","476208.9343","2023-07-01T00:00:00.000Z","4812.3009","95.2418"
"2023-10-02T06:09:57.719Z","Sentinel","westeurope","TWD","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","180.2943","2023-07-01T00:00:00.000Z","0","180.2943"
"2023-10-02T06:09:57.719Z","Sentinel","westeurope","TWD","100 GB Commitment Tier Capacity Reservation","100","1/Day","12347.7385","2023-07-01T00:00:00.000Z","68.4866","123.4774"
"2023-10-02T06:09:57.719Z","Sentinel","westeurope","TWD","200 GB Commitment Tier Capacity Reservation","200","1/Day","22858.3462","2023-07-01T00:00:00.000Z","185.1217","114.2917"
"2023-10-02T06:09:57.719Z","Sentinel","westeurope","TWD","300 GB Commitment Tier Capacity Reservation","300","1/Day","33368.9538","2023-07-01T00:00:00.000Z","291.9631","111.2298"
"2023-10-02T06:09:57.719Z","Sentinel","westeurope","TWD","400 GB Commitment Tier Capacity Reservation","400","1/Day","43267.077","2023-07-01T00:00:00.000Z","388.9882","108.1677"
"2023-10-02T06:09:57.719Z","Sentinel","westeurope","TWD","500 GB Commitment Tier Capacity Reservation","500","1/Day","52761.07","2023-07-01T00:00:00.000Z","487.771","105.5221"
"2023-10-02T06:09:57.719Z","Sentinel","westeurope","TWD","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","103435.371","2023-07-01T00:00:00.000Z","980.2247","103.4354"
"2023-10-02T06:09:57.719Z","Sentinel","westeurope","TWD","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","200187.9204","2023-07-01T00:00:00.000Z","1935.3908","100.094"
"2023-10-02T06:09:57.719Z","Sentinel","westeurope","TWD","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","481682.4285","2023-07-01T00:00:00.000Z","4812.3007","96.3365"
"2023-11-01T06:09:55.088Z","Sentinel","westeurope","TWD","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","181.3172","2023-07-01T00:00:00.000Z","0","181.3172"
"2023-11-01T06:09:55.088Z","Sentinel","westeurope","TWD","100 GB Commitment Tier Capacity Reservation","100","1/Day","12417.7982","2023-07-01T00:00:00.000Z","68.4866","124.178"
"2023-11-01T06:09:55.088Z","Sentinel","westeurope","TWD","200 GB Commitment Tier Capacity Reservation","200","1/Day","22988.0419","2023-07-01T00:00:00.000Z","185.1217","114.9402"
