"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T13:50:58.330Z","Azure Monitor","australiasoutheast","SEK","Pay-as-you-go","1 GB","35.0426","2018-02-01T00:00:00.000Z","0","35.0426"
"2023-03-29T13:50:58.330Z","Azure Monitor","australiasoutheast","SEK","100","1/Day","2878.9499","2019-11-01T00:00:00.000Z","82.1557","28.7895"
"2023-03-29T13:50:58.330Z","Azure Monitor","australiasoutheast","SEK","200","1/Day","5405.3754","2019-11-01T00:00:00.000Z","187.7551","27.0269"
"2023-03-29T13:50:58.330Z","Azure Monitor","australiasoutheast","SEK","300","1/Day","7931.8008","2019-11-01T00:00:00.000Z","293.478","26.4393"
"2023-03-29T13:50:58.330Z","Azure Monitor","australiasoutheast","SEK","400","1/Day","10340.7181","2019-11-01T00:00:00.000Z","391.1116","25.8518"
"2023-03-29T13:50:58.330Z","Azure Monitor","australiasoutheast","SEK","500","1/Day","12705.5698","2019-11-01T00:00:00.000Z","491.4772","25.4111"
"2023-03-29T13:50:58.330Z","Azure Monitor","australiasoutheast","SEK","1000","1/Day","24970.484","2021-06-01T00:00:00.000Z","982.6605","24.9705"
"2023-03-29T13:50:58.330Z","Azure Monitor","australiasoutheast","SEK","2000","1/Day","48765.8864","2021-06-01T00:00:00.000Z","1952.9399","24.3829"
"2023-03-29T13:50:58.330Z","Azure Monitor","australiasoutheast","SEK","5000","1/Day","118242.586","2021-06-01T00:00:00.000Z","4849.4062","23.6485"
"2023-04-12T11:28:34.468Z","Azure Monitor","australiasoutheast","SEK","Pay-as-you-go","1 GB","34.7786","2018-02-01T00:00:00.000Z","0","34.7786"
"2023-04-12T11:28:34.468Z","Azure Monitor","australiasoutheast","SEK","100","1/Day","2857.2586","2019-11-01T00:00:00.000Z","82.1557","28.5726"
"2023-04-12T11:28:34.468Z","Azure Monitor","australiasoutheast","SEK","200","1/Day","5364.6488","2019-11-01T00:00:00.000Z","187.7550","26.8232"
"2023-04-12T11:28:34.468Z","Azure Monitor","australiasoutheast","SEK","300","1/Day","7872.039","2019-11-01T00:00:00.000Z","293.4787","26.2401"
"2023-04-12T11:28:34.468Z","Azure Monitor","australiasoutheast","SEK","400","1/Day","10262.8064","2019-11-01T00:00:00.000Z","391.1116","25.6570"
"2023-04-12T11:28:34.468Z","Azure Monitor","australiasoutheast","SEK","500","1/Day","12609.8403","2019-11-01T00:00:00.000Z","491.4776","25.2197"
"2023-04-12T11:28:34.468Z","Azure Monitor","australiasoutheast","SEK","1000","1/Day","24782.345","2021-06-01T00:00:00.000Z","982.6582","24.7823"
"2023-04-12T11:28:34.468Z","Azure Monitor","australiasoutheast","SEK","2000","1/Day","48398.462","2021-06-01T00:00:00.000Z","1952.9447","24.1992"
"2023-04-12T11:28:34.468Z","Azure Monitor","australiasoutheast","SEK","5000","1/Day","117351.6925","2021-06-01T00:00:00.000Z","4849.4038","23.4703"
