"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T13:50:58.330Z","Sentinel","eastasia","DKK","Pay-as-you-go","1 GB","21.8903","2019-09-24T00:00:00.000Z","0","21.8903"
"2023-03-29T13:50:58.330Z","Sentinel","eastasia","DKK","100","1/Day","1094.517","2019-09-24T00:00:00.000Z","50.0001","10.9452"
"2023-03-29T13:50:58.330Z","Sentinel","eastasia","DKK","200","1/Day","1970.1306","2019-09-24T00:00:00.000Z","179.9995","9.8507"
"2023-03-29T13:50:58.330Z","Sentinel","eastasia","DKK","300","1/Day","2845.7442","2019-09-24T00:00:00.000Z","288.8875","9.4858"
"2023-03-29T13:50:58.330Z","Sentinel","eastasia","DKK","400","1/Day","3648.3429","2019-09-24T00:00:00.000Z","384.611","9.1209"
"2023-03-29T13:50:58.330Z","Sentinel","eastasia","DKK","500","1/Day","4378.068","2019-09-24T00:00:00.000Z","480.0039","8.7561"
"2023-03-29T13:50:58.330Z","Sentinel","eastasia","DKK","1000","1/Day","8537.2326","2021-06-01T00:00:00.000Z","975.004","8.5372"
"2023-03-29T13:50:58.330Z","Sentinel","eastasia","DKK","2000","1/Day","16198.8516","2021-06-01T00:00:00.000Z","1897.4431","8.0994"
"2023-03-29T13:50:58.330Z","Sentinel","eastasia","DKK","5000","1/Day","38308.095","2021-06-01T00:00:00.000Z","4729.7448","7.6616"
"2023-04-12T11:28:34.468Z","Sentinel","eastasia","DKK","Pay-as-you-go","1 GB","21.3223","2019-09-24T00:00:00.000Z","0","21.3223"
"2023-04-12T11:28:34.468Z","Sentinel","eastasia","DKK","100","1/Day","1066.1132","2019-09-24T00:00:00.000Z","49.9999","10.6611"
"2023-04-12T11:28:34.468Z","Sentinel","eastasia","DKK","200","1/Day","1919.0038","2019-09-24T00:00:00.000Z","180.0005","9.5950"
"2023-04-12T11:28:34.468Z","Sentinel","eastasia","DKK","300","1/Day","2771.8944","2019-09-24T00:00:00.000Z","288.8895","9.2396"
"2023-04-12T11:28:34.468Z","Sentinel","eastasia","DKK","400","1/Day","3553.665","2019-09-24T00:00:00.000Z","384.6124","8.8842"
"2023-04-12T11:28:34.468Z","Sentinel","eastasia","DKK","500","1/Day","4264.453","2019-09-24T00:00:00.000Z","480.0042","8.5289"
"2023-04-12T11:28:34.468Z","Sentinel","eastasia","DKK","1000","1/Day","8315.6833","2021-06-01T00:00:00.000Z","975.0007","8.3157"
"2023-04-12T11:28:34.468Z","Sentinel","eastasia","DKK","2000","1/Day","15778.4761","2021-06-01T00:00:00.000Z","1897.4321","7.8892"
"2023-04-12T11:28:34.468Z","Sentinel","eastasia","DKK","5000","1/Day","37313.9637","2021-06-01T00:00:00.000Z","4729.7525","7.4628"
