"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T13:50:58.330Z","Sentinel","southafricanorth","NZD","Pay-as-you-go","1 GB","4.7422","2019-09-24T00:00:00.000Z","0","4.7422"
"2023-03-29T13:50:58.330Z","Sentinel","southafricanorth","NZD","100","1/Day","237.1092","2019-09-24T00:00:00.000Z","49.9998","2.3711"
"2023-03-29T13:50:58.330Z","Sentinel","southafricanorth","NZD","200","1/Day","426.7966","2019-09-24T00:00:00.000Z","179.9994","2.134"
"2023-03-29T13:50:58.330Z","Sentinel","southafricanorth","NZD","300","1/Day","616.4677","2019-09-24T00:00:00.000Z","288.879","2.0549"
"2023-03-29T13:50:58.330Z","Sentinel","southafricanorth","NZD","400","1/Day","790.3532","2019-09-24T00:00:00.000Z","384.6188","1.9759"
"2023-03-29T13:50:58.330Z","Sentinel","southafricanorth","NZD","500","1/Day","948.4369","2019-09-24T00:00:00.000Z","480.0025","1.8969"
"2023-03-29T13:50:58.330Z","Sentinel","southafricanorth","NZD","1000","1/Day","1849.4519","2021-06-01T00:00:00.000Z","974.9865","1.8495"
"2023-03-29T13:50:58.330Z","Sentinel","southafricanorth","NZD","2000","1/Day","3509.2164","2021-06-01T00:00:00.000Z","1897.3865","1.7546"
"2023-03-29T13:50:58.330Z","Sentinel","southafricanorth","NZD","5000","1/Day","8298.8226","2021-06-01T00:00:00.000Z","4729.7519","1.6598"
"2023-04-12T11:28:34.468Z","Sentinel","southafricanorth","NZD","Pay-as-you-go","1 GB","4.6911","2019-09-24T00:00:00.000Z","0","4.6911"
"2023-04-12T11:28:34.468Z","Sentinel","southafricanorth","NZD","100","1/Day","234.557","2019-09-24T00:00:00.000Z","50.0004","2.3456"
"2023-04-12T11:28:34.468Z","Sentinel","southafricanorth","NZD","200","1/Day","422.2026","2019-09-24T00:00:00.000Z","179.9977","2.1110"
"2023-04-12T11:28:34.468Z","Sentinel","southafricanorth","NZD","300","1/Day","609.8321","2019-09-24T00:00:00.000Z","288.8830","2.0328"
"2023-04-12T11:28:34.468Z","Sentinel","southafricanorth","NZD","400","1/Day","781.8459","2019-09-24T00:00:00.000Z","384.6153","1.9546"
"2023-04-12T11:28:34.468Z","Sentinel","southafricanorth","NZD","500","1/Day","938.228","2019-09-24T00:00:00.000Z","480.0102","1.8765"
"2023-04-12T11:28:34.468Z","Sentinel","southafricanorth","NZD","1000","1/Day","1829.5445","2021-06-01T00:00:00.000Z","974.9771","1.8295"
"2023-04-12T11:28:34.468Z","Sentinel","southafricanorth","NZD","2000","1/Day","3471.4435","2021-06-01T00:00:00.000Z","1897.4821","1.7357"
"2023-04-12T11:28:34.468Z","Sentinel","southafricanorth","NZD","5000","1/Day","8209.4947","2021-06-01T00:00:00.000Z","4729.7890","1.6419"
